timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,-1.560507,-10.778523,12.997692,-0.682011,-0.389093
0.05,-1.560709,-10.778037,12.996224,-0.680884,-0.39445
0.1,-1.562112,-10.774611,12.98589,-0.673017,-0.431848
0.15,-1.523698,-10.902672,13.461208,-0.64169,-0.688113
0.2,-0.649327,-11.761552,16.968193,-0.40078,-1.960975
0.25,2.540294,-12.725068,23.607774,0.477144,-4.264353
0.3,6.909054,-12.322798,27.33441,1.658639,-5.790159
0.35,8.209778,-12.014645,27.284958,2.134411,-6.491806
0.4,9.88213,-9.900252,23.473525,5.524091,-16.912609
0.45,16.282623,-7.200535,15.840127,9.110968,-19.919116
0.5,19.311009,-4.484501,4.548864,10.262333,-17.620623
0.55,19.643998,-2.717804,-2.142662,9.954297,-14.579551
0.6,20.336222,-2.21921,-3.997794,8.416534,-8.935505
0.65,21.961283,-2.774646,-1.638004,2.677019,6.97999
0.7,22.217967,-2.570359,-1.660968,1.067634,11.137377
0.75,21.542362,-1.849202,-3.722172,0.42723,12.787999
0.8,18.800581,-2.013588,-4.674674,-0.117739,13.289373
0.85,18.341983,-2.245918,-4.33977,-0.1349,13.106895
0.9,17.133463,-2.867914,-3.423221,-0.055138,12.26475
0.95,13.779524,-4.193169,-1.64655,0.060729,10.15662
1.0,11.689979,-5.631904,0.813931,1.324153,4.624421
1.05,10.124366,-7.378356,5.047012,3.263261,-4.015481
1.1,8.554092,-8.348053,8.979944,5.155274,-13.657237
1.15,1.256818,-9.832301,21.182613,4.373769,-23.777816
1.2,-5.194986,-8.29491,24.912459,3.154944,-29.923578
1.25,-6.545795,-7.719039,25.514173,2.900393,-31.265587
1.3,-9.131967,-7.312954,26.000131,2.055281,-31.515995
1.35,-12.656611,-6.830482,26.174186,0.849204,-31.131582
1.4,-15.120056,-9.004436,25.208632,-0.929613,-22.197678
1.45,-17.413448,-9.181032,13.322359,-2.458701,-11.152062
1.5,-17.416083,-9.047835,11.249666,-3.136091,-3.717051
1.55,-17.4439,-9.011993,10.832401,-3.589486,0.947443
1.6,-17.53657,-7.685087,6.667528,-3.778888,4.301947
1.65,-17.607065,-7.262137,5.744752,-4.179458,8.347937
1.7,-17.657009,-6.297316,3.173634,-4.24796,9.533343
1.75,-17.604082,-5.501383,1.210643,-4.380967,11.142064
1.8,-16.058724,-4.534273,-1.756723,-4.189516,11.445165
1.85,-15.23208,-4.080248,-3.280942,-3.921822,10.336511
1.9,-15.208354,-3.976654,-3.847023,-3.620402,8.081414
1.95,-15.191258,-3.810141,-4.669326,-3.170306,4.66333
2.0,-15.214313,-3.425289,-6.174936,-2.389833,-1.438192
2.05,-14.773549,-5.559277,-0.694053,-1.352174,-11.078739
2.1,-14.870635,-6.272876,2.26835,-0.754757,-17.743501
2.15,-14.518016,-6.514009,4.351064,-0.130587,-23.407835
2.2,-4.619223,-7.945677,25.110999,3.543973,-31.028689
2.25,-1.847963,-7.591474,27.658848,4.341369,-29.891363
2.3,-0.142527,-9.126995,29.944407,3.558535,-22.922226
2.35,5.4111,-10.38654,30.810884,3.539801,-15.34654
2.4,12.317292,-10.722571,24.990803,3.944383,-9.077443
2.45,15.185874,-8.359262,11.026738,3.591516,-2.25261
2.5,15.544679,-7.416742,7.737194,2.310935,2.756831
2.55,15.819539,-7.246296,7.484948,0.869131,7.28063
2.6,16.01811,-6.144245,4.803927,-0.599295,12.063556
2.65,16.080043,-5.434725,3.187681,-1.320762,14.381887
2.7,16.10735,-4.783721,1.684802,-1.763506,15.852949
2.75,15.107053,-4.134219,-0.322152,-2.000127,16.48689
2.8,13.574657,-3.504878,-2.445956,-2.1232,16.661464
2.85,12.468749,-3.80212,-2.298052,-1.832126,15.404074
2.9,10.908092,-4.8712,-0.567462,-1.116004,12.295173
2.95,8.620788,-7.098233,3.933443,0.172974,6.043721
3.0,7.642159,-9.224717,9.889976,2.114416,-3.004432
3.05,4.810925,-10.271915,15.980312,3.842075,-15.017849
3.1,1.579336,-9.546575,20.403611,4.734209,-24.984316
3.15,-0.767145,-8.470371,21.74982,4.875357,-30.353518
3.2,-2.216177,-8.465333,21.992335,4.372206,-30.566719
3.25,-6.440213,-8.960676,18.278616,2.645439,-28.448255
3.3,-8.946671,-8.76996,8.80565,0.622238,-16.719917
3.35,-8.735268,-7.53976,3.499655,-0.218485,-9.1635
3.4,-8.584035,-6.70156,0.989447,-1.040221,-2.967392
3.45,-9.036281,-5.009937,-3.055871,-1.897315,2.731188
3.5,-8.48142,-4.250732,-4.497781,-2.528532,7.36253
3.55,-8.476494,-4.13227,-4.319331,-3.102469,10.663459
3.6,-8.486733,-4.176831,-3.906557,-3.462907,12.654193
3.65,-7.966454,-4.370548,-3.200692,-3.73961,14.415295
3.7,-7.971236,-5.105325,-1.177198,-4.018832,15.662676
3.75,-6.82761,-7.893121,5.630329,-3.82905,14.095653
3.8,-6.188941,-10.72174,13.194349,-3.232272,9.248545
