timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,0.421837,-1.024113,-13.107842,-0.102755,-13.809025
0.05,0.380426,-1.114934,-12.890811,-0.117151,-14.027219
0.1,0.256494,-1.382516,-12.243911,-0.160702,-14.681041
0.15,0.050942,-1.812346,-11.179301,-0.234466,-15.767985
0.2,-0.234742,-2.380419,-9.715855,-0.340129,-17.28349
0.25,-0.517744,-2.872875,-8.361562,-0.44763,-19.028046
0.3,-0.717158,-3.112443,-7.593338,-0.525127,-20.809705
0.35,-0.834234,-3.118403,-7.39342,-0.571342,-22.627375
0.4,-0.87061,-2.904177,-7.7511,-0.58416,-24.471955
0.45,-0.904816,-2.666666,-8.118473,-0.59648,-26.484699
0.5,-1.013321,-2.639086,-7.854383,-0.645524,-28.532863
0.55,-1.194586,-2.812531,-6.949432,-0.73329,-30.564021
0.6,-1.447511,-3.157321,-5.422621,-0.860452,-32.575932
0.65,-1.771557,-3.632431,-3.300502,-1.026624,-34.558449
0.7,-2.166764,-4.18428,-0.615917,-1.230439,-36.493031
0.75,-2.634738,-4.721846,2.464373,-1.467946,-38.302779
0.8,-3.162893,-5.086779,5.15764,-1.720273,-39.68234
0.85,-3.638973,-5.317517,7.363495,-1.940924,-40.607814
0.9,-4.043089,-5.470093,9.100715,-2.126323,-41.129299
0.95,-4.376177,-5.579944,10.371251,-2.27461,-41.331561
1.0,-4.639148,-5.682045,11.188561,-2.384318,-41.24072
1.05,-4.832171,-5.799642,11.564452,-2.455743,-40.863482
1.1,-4.953118,-5.947766,11.811211,-2.492702,-40.295053
1.15,-4.999666,-6.134718,12.236672,-2.499086,-39.625725
1.2,-4.996615,-6.36075,12.841656,-2.48472,-38.847066
1.25,-4.968936,-6.625228,13.626619,-2.459152,-37.948545
1.3,-4.943104,-6.926765,14.591741,-2.431948,-36.917504
1.35,-4.946015,-7.26318,15.736966,-2.412043,-35.739115
1.4,-4.902988,-7.62706,16.921526,-2.370233,-34.396597
1.45,-4.73452,-7.968144,17.948834,-2.283162,-33.079781
1.5,-4.437986,-8.277169,18.806603,-2.154148,-31.841679
1.55,-4.011553,-8.552651,19.493162,-1.985538,-30.69599
1.6,-3.453726,-8.791728,20.006164,-1.779254,-29.654277
1.65,-2.763472,-8.990181,20.342617,-1.536695,-28.72573
1.7,-2.068065,-9.144012,20.573124,-1.30045,-27.939888
1.75,-1.496473,-9.255647,20.770617,-1.110867,-27.325932
1.8,-1.05028,-9.328849,20.935363,-0.965817,-26.889649
1.85,-0.730618,-9.366535,21.067674,-0.863595,-26.635065
1.9,-0.538205,-9.370696,21.167922,-0.803014,-26.564697
1.95,-0.473704,-9.359938,21.260221,-0.783286,-26.599577
2.0,-0.385217,-9.342653,21.359564,-0.756086,-26.655242
2.05,-0.120671,-9.309762,21.434694,-0.673174,-26.720528
2.1,0.319571,-9.259382,21.480252,-0.534377,-26.793577
2.15,0.934891,-9.187918,21.494566,-0.33954,-26.873325
2.2,1.680474,-9.09464,21.477328,-0.102465,-26.959704
2.25,2.292898,-9.004034,21.439959,0.0934,-27.060766
2.3,2.729101,-8.925165,21.386692,0.23417,-27.179165
2.35,2.989887,-8.861695,21.32055,0.319793,-27.316174
2.4,3.075891,-8.815723,21.243838,0.350094,-27.472617
2.45,3.093569,-8.775158,21.150931,0.35888,-27.644431
2.5,3.149017,-8.72715,21.035833,0.380215,-27.827184
2.55,3.242135,-8.671633,20.898559,0.414203,-28.020653
2.6,3.372805,-8.608432,20.739029,0.460958,-28.224515
2.65,3.540879,-8.53731,20.557165,0.520602,-28.438413
2.7,3.746185,-8.457972,20.352838,0.593262,-28.661929
2.75,3.98869,-8.373624,20.134711,0.678749,-28.878818
2.8,4.268388,-8.286304,19.93027,0.776764,-29.078526
2.85,4.585097,-8.195339,19.743041,0.887301,-29.262269
2.9,4.938625,-8.100253,19.572776,1.01034,-29.43023
2.95,5.291395,-8.006286,19.421894,1.133369,-29.584322
3.0,5.606145,-7.919471,19.293218,1.243835,-29.726742
3.05,5.883127,-7.840342,19.186982,1.341643,-29.857889
3.1,6.122565,-7.769332,19.103378,1.426713,-29.978055
3.15,6.324673,-7.706828,19.042591,1.498977,-30.087588
3.2,6.489669,-7.654432,18.981398,1.558386,-30.179987
3.25,6.617761,-7.613711,18.896596,1.604892,-30.248808
3.3,6.709076,-7.584775,18.788208,1.638451,-30.294194
3.35,6.763706,-7.567569,18.656197,1.659038,-30.316146
3.4,6.781704,-7.561867,18.500448,1.666645,-30.314637
3.45,6.770564,-7.565945,18.320178,1.663807,-30.289126
3.5,6.737754,-7.577932,18.11455,1.653073,-30.238975
3.55,6.683313,-7.598037,17.884423,1.63436,-30.160189
3.6,6.60721,-7.625654,17.66256,1.607544,-30.05817
3.65,6.509336,-7.660112,17.480904,1.572603,-29.942535
3.7,6.389627,-7.70179,17.339624,1.529558,-29.81352
3.75,6.247993,-7.75097,17.23881,1.478443,-29.671407
3.8,6.084344,-7.807841,17.178539,1.419306,-29.516423
3.85,5.898564,-7.872497,17.15876,1.35221,-29.348776
3.9,5.696081,-7.944056,17.179049,1.279078,-29.168395
3.95,5.510165,-8.017313,17.236869,1.211055,-28.973861
4.0,5.346536,-8.090134,17.134863,1.150612,-28.705198
4.05,5.205232,-8.155349,16.674063,1.098564,-28.300754
4.1,5.086117,-8.196989,15.84831,1.055373,-27.754878
4.15,4.989047,-8.190093,14.647307,1.021601,-27.05866
4.2,4.914133,-8.143325,13.434618,0.995663,-26.325436
4.25,4.861731,-8.105814,12.589923,0.975158,-25.689948
4.3,4.831654,-8.094794,12.113072,0.960344,-25.195046
4.35,4.82399,-8.123715,12.008483,0.951066,-24.850895
4.4,4.768062,-8.134488,11.771304,0.928275,-24.489102
4.45,4.592691,-8.050885,10.888898,0.873515,-23.935682
4.5,4.296819,-7.836254,9.343009,0.787841,-23.177216
4.55,3.878504,-7.434396,7.104172,0.673855,-22.186886
4.6,3.334979,-6.771112,4.12772,0.535509,-20.934391
4.65,2.663576,-5.757139,0.350782,0.375377,-19.385895
4.7,1.985436,-4.536248,-3.575354,0.222727,-17.777405
4.75,1.426017,-3.389771,-6.902922,0.102365,-16.400328
4.8,0.988183,-2.406731,-9.569287,0.011293,-15.289964
4.85,0.674015,-1.655259,-11.519085,-0.052479,-14.474861
4.9,0.484952,-1.184422,-12.708165,-0.090247,-13.976652
4.95,0.421837,-1.024113,-13.107841,-0.102755,-13.809025
