timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.009848,0.623097,0.173392,0.298346,0.0
0.05,0.017397,0.640274,0.184675,0.333893,0.0
0.1,0.050073,0.676323,0.223674,0.405169,0.0
0.15,0.137749,0.748768,0.322405,0.459141,0.0
0.2,0.321443,0.883594,0.526143,0.44278,0.0
0.25,0.651728,1.117661,0.894377,0.303053,0.0
0.3,1.185077,1.502732,1.502445,-0.013092,0.0
0.35,1.976209,2.11154,2.444455,-0.558742,0.0
0.4,2.963058,3.040164,3.836221,-1.387027,0.0
0.45,3.581105,4.393283,5.814808,-2.551139,0.0
0.5,3.794655,6.375139,8.577241,-4.104342,0.0
0.55,3.66642,9.300441,12.41028,-5.989593,0.0
0.6,3.270284,13.647036,17.771905,-7.917696,0.0
0.65,2.703748,20.172248,25.500264,-9.587546,0.0
0.7,2.29137,26.74335,33.997021,-10.830526,0.0
0.75,2.093227,31.24677,40.821916,-11.88051,0.0
0.8,1.987083,34.418532,46.190244,-12.968856,0.0
0.85,1.927434,36.679755,50.32539,-14.022645,0.0
0.9,1.893294,38.288002,53.428349,-14.948484,0.0
0.95,1.874976,39.413767,55.680115,-15.675957,0.0
1.0,1.868571,40.179664,57.246616,-16.268985,0.0
1.05,1.87352,40.679787,58.28003,-16.80406,0.0
1.1,1.891465,40.989201,58.917232,-17.268636,0.0
1.15,1.925648,41.168016,59.277006,-17.650467,0.0
1.2,1.980572,41.263591,59.45789,-17.938047,0.0
1.25,2.06182,41.311743,59.536874,-18.121067,0.0
1.3,2.175932,41.337821,59.569181,-18.190764,0.0
1.35,2.330331,41.357526,59.58851,-18.223537,0.0
1.4,2.534301,41.361863,59.593039,-18.294981,0.0
1.45,2.7965,41.355091,59.5736,-18.396809,0.0
1.5,3.109231,41.309332,59.46808,-18.520507,0.0
1.55,3.374679,41.170519,59.165817,-18.656165,1e-06
1.6,3.586419,40.872439,58.523438,-18.790228,0.0
1.65,3.756651,40.330863,57.362872,-18.899883,0.0
1.7,3.898938,39.441535,55.477033,-19.447876,0.0
1.75,4.029999,38.078011,52.639862,-20.605588,0.0
1.8,4.173375,36.082107,48.615115,-21.696367,0.0
1.85,4.367547,33.236718,43.157739,-22.428241,0.0
1.9,4.686877,29.201258,36.003536,-22.812579,0.0
1.95,5.308352,23.3694,26.857649,-22.919192,0.0
2.0,6.811176,14.549922,15.447641,-22.80905,0.0
2.05,9.454192,5.632367,5.234535,-23.043259,0.0
2.1,12.187281,-0.197527,-1.687321,-23.854536,-1e-06
2.15,14.624705,-4.005051,-6.541532,-24.985747,1e-06
2.2,16.530726,-6.473731,-9.96285,-26.283746,-1e-06
2.25,17.872643,-8.058037,-12.339991,-27.618618,0.0
2.3,18.736387,-9.061441,-13.943507,-28.818566,0.0
2.35,19.230157,-9.687705,-14.978082,-29.698468,0.0
2.4,19.433961,-10.075309,-15.605379,-30.281818,0.0
2.45,19.38664,-10.320474,-15.954974,-30.601361,0.0
2.5,19.089006,-10.491492,-16.129596,-30.689843,-1e-06
2.55,18.510055,-10.63783,-16.207996,-30.579973,0.0
2.6,17.591209,-10.79534,-16.246298,-30.304457,0.0
2.65,16.247241,-10.988857,-16.278514,-29.89598,0.0
2.7,14.349483,-11.223503,-16.315954,-29.387227,0.0
2.75,11.770912,-11.517077,-16.35882,-28.810875,0.0
2.8,8.321734,-11.865703,-16.397705,-28.199612,0.0
2.85,4.030284,-12.231723,-16.412685,-27.668688,0.0
2.9,0.284505,-12.47736,-16.364238,-27.262746,0.0
2.95,-2.698377,-12.597193,-16.227433,-26.908585,0.0
3.0,-4.985639,-12.598528,-15.973207,-26.532992,0.0
3.05,-6.661901,-12.47689,-15.564765,-26.062767,1e-06
3.1,-7.813315,-12.215518,-14.957455,-25.424691,0.0
3.15,-8.517329,-11.784279,-14.098363,-24.647129,0.0
3.2,-8.836547,-11.137161,-12.925205,-23.532324,0.0
3.25,-8.81629,-10.208405,-11.364546,-21.667032,0.0
3.3,-8.486659,-8.906429,-9.328327,-18.634388,0.0
3.35,-7.871283,-7.104962,-6.707822,-14.010671,0.0
3.4,-7.003638,-4.629393,-3.361534,-7.324527,0.0
3.45,-6.298689,-2.203807,0.050217,-0.412759,0.0
3.5,-5.921618,-0.478406,2.809102,4.633103,0.0
3.55,-5.655904,0.773313,5.004769,8.027367,0.0
3.6,-4.789642,1.708,6.726012,10.183094,0.0
3.65,-1.572338,2.48835,8.070938,11.505432,0.0
3.7,1.536539,3.112091,9.088069,12.395117,0.0
3.75,2.233217,3.480912,9.797504,12.761567,0.0
3.8,2.272549,3.707168,10.278869,12.747976,0.0
3.85,2.267741,3.852546,10.592758,12.573072,0.0
3.9,2.2638,3.94156,10.783812,12.300621,0.0
3.95,2.257751,3.991692,10.889274,11.959557,0.0
4.0,2.245332,4.016558,10.939573,11.565635,0.0
4.05,2.220895,4.026371,10.958345,11.128228,0.0
4.1,2.177338,4.028146,10.962459,10.653038,0.0
4.15,2.10607,4.025902,10.961956,10.143251,0.0
4.2,1.997122,4.019402,10.958836,9.599956,0.0
4.25,1.838569,4.003258,10.936792,9.021815,0.0
4.3,1.617149,3.958849,10.849133,8.403617,0.0
