timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,3e-06,1.179289,0.884226,-0.143583,-1.405936
0.05,3e-06,1.431828,1.076584,-0.203617,-1.417974
0.1,3e-06,2.520998,1.918343,-0.450422,-1.470136
0.15,3e-06,5.413634,4.250601,-1.009301,-1.610575
0.2,2e-06,11.346303,9.480813,-1.709497,-1.906699
0.25,3e-06,21.730974,20.105411,-1.468646,-2.445188
0.3,2e-06,31.953479,32.371801,0.570658,-2.983692
0.35,2e-06,37.693178,40.011375,2.464654,-3.279841
0.4,3e-06,40.489269,43.919455,3.572799,-3.420294
0.45,2e-06,41.544892,45.4257,4.021803,-3.472462
0.5,2e-06,41.79001,45.777847,4.128447,-3.4845
0.55,2e-06,41.806369,45.801384,4.135597,-3.485304
0.6,2e-06,41.808565,45.804546,4.13486,-3.55731
0.65,2e-06,41.841493,45.851927,4.113165,-4.637484
0.7,2e-06,41.984329,46.057646,3.787429,-9.321508
0.75,2e-06,42.369917,46.614504,0.999964,-21.994363
0.8,1e-06,42.757042,47.175806,-4.658278,-34.8371
0.85,1e-06,42.901238,47.385445,-7.480293,-39.668458
0.9,1e-06,42.934545,47.433908,-8.183266,-40.788817
0.95,1e-06,42.936768,47.437143,-8.230798,-40.863581
1.0,1e-06,42.936768,47.437143,-8.229545,-40.86162
1.05,1e-06,42.936768,47.437143,-8.210677,-40.832278
1.1,1e-06,42.936768,47.437143,-8.129021,-40.705137
1.15,1e-06,42.936768,47.437143,-7.956282,-40.435075
1.2,1e-06,42.936768,47.437143,-7.875345,-40.30802
1.25,1e-06,42.936768,47.437143,-7.856705,-40.278708
1.3,1e-06,42.936768,47.437143,-7.855455,-40.276741
1.35,1e-06,42.936768,47.437143,-7.818074,-40.217909
1.4,1e-06,42.936768,47.437143,-7.26324,-39.336022
1.45,1e-06,42.936768,47.437143,-4.992779,-35.529077
1.5,1e-06,42.936768,47.437143,-0.04343,-25.385291
1.55,1e-06,42.936768,47.437143,4.614171,-4.335558
1.6,1e-06,42.936768,47.437143,1.605554,16.645384
1.65,1e-06,42.936768,47.437143,-2.520528,26.712211
1.7,1e-06,42.936768,47.437143,-4.492625,30.4845
1.75,1e-06,42.936768,47.437143,-4.980372,31.357962
1.8,1e-06,42.936768,47.437143,-5.013318,31.416247
1.85,1e-06,42.932025,47.428858,-5.019397,31.422671
1.9,1e-06,42.860858,47.304582,-5.110515,31.519199
1.95,1e-06,42.553499,46.768457,-5.503404,31.937603
2.0,1e-06,41.905656,45.641165,-6.32773,32.827614
2.05,1e-06,41.603188,45.116169,-6.710593,33.246875
2.1,1e-06,41.533591,44.995497,-6.798477,33.343672
2.15,1e-06,41.528954,44.987454,-6.80433,33.350123
2.2,1e-06,41.511851,44.957794,-6.807069,33.340831
2.25,1e-06,41.255804,44.514255,-6.848269,33.201573
2.3,1e-06,40.15795,42.619496,-7.030901,32.598447
2.35,1e-06,37.28521,37.717531,-7.555118,30.977432
2.4,0.0,31.522283,28.153087,-8.799838,27.572108
2.45,-2e-06,21.569521,12.652286,-11.352949,21.419741
2.5,-8e-06,6.871574,-7.143154,-14.550963,12.525808
2.55,-1.5e-05,-4.576386,-19.364491,-14.882618,6.460149
2.6,-2.4e-05,-11.954708,-25.651433,-13.65988,3.131909
2.65,-3.3e-05,-15.880468,-28.512367,-12.545656,1.554554
2.7,-3.5e-05,-17.427229,-29.552767,-12.022991,0.968791
2.75,-3.6e-05,-17.791716,-29.791028,-11.89318,0.833626
2.8,-3.6e-05,-17.816122,-29.806898,-11.884416,0.824614
2.85,-3.6e-05,-17.816128,-29.806898,-11.885475,0.86299
2.9,-3.6e-05,-17.816277,-29.806922,-11.902713,1.43866
2.95,-3.6e-05,-17.816892,-29.807051,-12.003654,3.933966
3.0,-3.6e-05,-17.818555,-29.807407,-12.48487,10.66346
3.05,-3.3e-05,-17.822062,-29.808144,-14.040075,22.592927
3.1,-3.3e-05,-17.82844,-29.809493,-15.285875,29.440028
3.15,-3.3e-05,-17.838945,-29.81171,-15.803979,32.000089
3.2,-3.3e-05,-17.855055,-29.815097,-15.92141,32.592269
3.25,-3.1e-05,-17.878495,-29.820036,-15.918866,32.631768
3.3,-3.1e-05,-17.911193,-29.826903,-15.902511,32.626758
3.35,-3.1e-05,-17.955336,-29.836165,-15.86573,32.551462
3.4,-2.8e-05,-18.013309,-29.848302,-15.76853,32.225304
3.45,-2.9e-05,-18.087789,-29.863844,-15.585064,31.532729
3.5,-2.6e-05,-18.181625,-29.883348,-15.469764,31.207066
