timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-0.045912,1.038135,0.505206,-0.376684,7e-06
0.05,-0.232495,1.024294,0.491194,-0.367907,7e-06
0.1,-0.735426,0.987771,0.453665,-0.352375,7e-06
0.15,-1.798417,0.914407,0.375554,-0.327745,6e-06
0.2,-3.738213,0.793872,0.237043,-0.295538,6e-06
0.25,-6.941751,0.632313,0.018839,-0.268883,4e-06
0.3,-11.837266,0.476091,-0.291752,-0.286665,0.0
0.35,-18.786439,0.450572,-0.690888,-0.906499,-1.6e-05
0.4,-27.824787,0.809069,-1.142664,-1.810392,-5.5e-05
0.45,-37.63398,1.838394,-1.588352,-2.722488,-0.000161
0.5,-44.145951,2.959801,-2.19172,-3.389041,-0.000446
0.55,-48.145539,3.82131,-3.097945,-3.350643,-0.001212
0.6,-50.60942,4.352822,-4.384746,-3.281408,-0.00328
0.65,-52.107585,4.579235,-6.099471,-3.351137,-0.008843
0.7,-52.986135,4.587792,-8.161728,-3.985735,-0.017094
0.75,-53.463562,4.54345,-9.944514,-5.164618,-0.023433
0.8,-53.693575,4.478351,-11.388884,-5.503508,-0.027781
0.85,-53.785407,4.408648,-12.539561,-5.471055,-0.03061
0.9,-53.813647,4.349062,-13.436546,-5.435487,-0.005904
0.95,-53.822529,4.307598,-14.117713,-5.80407,0.390019
1.0,-53.828222,4.282602,-14.62031,-7.228806,2.108851
1.05,-53.832372,4.268078,-14.979313,-11.388947,6.739746
1.1,-53.8355,4.259889,-15.225533,-19.830355,16.544166
1.15,-53.838194,4.25568,-15.385655,-27.860425,32.181703
1.2,-53.841155,4.254162,-15.482529,-30.535826,42.339503
1.25,-53.845141,4.25479,-15.535322,-31.642385,47.225741
1.3,-53.850987,4.257397,-15.559572,-32.292397,49.052298
1.35,-53.859624,4.262105,-15.567324,-32.68323,49.474434
1.4,-53.868097,4.270899,-15.566507,-32.887194,49.503801
1.45,-53.826156,4.305919,-15.554631,-32.908777,49.505997
1.5,-53.593988,4.428026,-15.510342,-32.585832,49.510037
1.55,-52.945803,4.739919,-15.370676,-31.761015,49.517379
1.6,-51.596332,5.389507,-15.0064,-30.252796,49.530777
1.65,-49.262326,6.574169,-14.212131,-27.878093,49.555348
1.7,-45.766154,8.542101,-12.691415,-24.451365,49.60024
1.75,-41.154506,11.580919,-10.03313,-19.783679,49.681464
1.8,-35.752403,15.98705,-5.678118,-13.240662,49.824191
1.85,-31.514418,20.341849,0.142418,-5.604728,50.040421
1.9,-29.116557,23.483891,7.072948,1.202299,50.253882
1.95,-27.735583,26.253401,15.954055,5.268001,50.217142
2.0,-26.960965,29.015999,25.075856,6.272316,50.095292
2.05,-26.558385,31.280152,32.027361,7.602768,50.001038
2.1,-26.376915,32.960485,37.038992,8.85703,49.935086
2.15,-26.315361,34.099914,40.415349,9.836362,49.79157
2.2,-26.306385,34.804612,42.50882,10.475875,49.296764
2.25,-26.310695,35.198352,43.676574,10.780444,48.00607
2.3,-26.314421,35.388955,44.236471,10.752157,45.307981
2.35,-26.316811,35.46074,44.445714,10.28631,40.434734
2.4,-26.318189,35.477577,44.494253,9.017349,32.481405
2.45,-26.318862,35.478861,44.49761,6.076007,20.424415
2.5,-26.319113,35.478936,44.497651,1.963082,8.489608
2.55,-26.319167,35.47897,44.49773,-1.345654,0.742768
2.6,-26.319174,35.479035,44.497941,-3.580379,-3.958773
2.65,-26.317141,35.478694,44.498126,-4.864867,-6.545792
2.7,-26.286656,35.470856,44.493157,-5.455572,-7.773854
2.75,-26.154394,35.435923,44.468517,-5.59507,-8.231002
2.8,-25.796911,35.342155,44.400727,-5.449822,-8.33791
2.85,-25.036547,35.148908,44.260223,-5.087464,-8.347363
2.9,-23.631367,34.815182,44.018735,-4.476973,-8.354088
2.95,-21.256119,34.317831,43.664126,-3.551016,-8.40679
3.0,-17.475437,33.686394,43.226625,-2.262339,-8.62046
3.05,-11.728149,33.065014,42.821239,-0.572784,-9.187286
3.1,-4.05961,32.805071,42.703541,1.481224,-10.378084
3.15,1.969982,33.033544,42.938237,3.547424,-12.544407
3.2,6.072304,33.411414,43.277912,5.999201,-16.119463
3.25,8.704822,33.757961,43.593761,9.121863,-21.610135
3.3,10.28206,34.013724,43.843691,12.915167,-29.558921
3.35,11.141617,34.179172,44.030026,17.094128,-37.333271
3.4,11.547208,34.273845,44.159704,19.76429,-42.520772
3.45,11.697517,34.321458,44.242991,21.350391,-45.835521
3.5,11.732182,34.345395,44.299582,22.38704,-47.806328
3.55,11.734499,34.360455,44.342278,23.146683,-48.850695
3.6,11.734501,34.372302,44.376518,23.743244,-49.305346
3.65,11.734465,34.381704,44.403685,24.212189,-49.432989
3.7,11.73429,34.389012,44.424855,24.566012,-49.421654
3.75,11.733812,34.394517,44.440913,24.817129,-49.382981
3.8,11.732801,34.398486,44.452736,24.987726,-49.354363
3.85,11.730961,34.401136,44.461041,25.102462,-49.334829
3.9,11.727921,34.402645,44.466509,25.178982,-49.32109
3.95,11.723271,34.403164,44.469705,25.229394,-49.310571
4.0,11.716501,34.402795,44.471082,25.261931,-49.301146
4.05,11.707055,34.401593,44.471044,25.28222,-49.290801
4.1,11.694305,34.399575,44.469859,25.294238,-49.277721
4.15,11.677559,34.396734,44.467735,25.300696,-49.259977
4.2,11.656056,34.393011,44.464784,25.302782,-49.237645
4.25,11.628969,34.388315,44.461004,25.282242,-49.223606
4.3,11.595572,34.381516,44.454532,25.247851,-49.21642
4.35,11.557076,34.359707,44.422109,25.185967,-49.215533
4.4,11.518415,34.287416,44.2996,25.064422,-49.221284
4.45,11.488417,34.105952,43.980896,24.829959,-49.235272
4.5,11.479914,33.734492,43.320355,24.406074,-49.261114
4.55,11.513446,33.073125,42.138842,23.693301,-49.305531
4.6,11.631884,32.009815,40.235801,22.576605,-49.379928
4.65,11.872238,30.421557,37.400207,20.908662,-49.499108
4.7,12.284702,28.183688,33.42989,18.529666,-49.6469
4.75,12.948722,25.174795,28.147561,15.274378,-49.736758
4.8,14.000494,21.275143,21.409569,10.940577,-49.585138
4.85,15.697166,16.355907,13.105324,5.156321,-48.822407
4.9,18.384906,10.620375,3.728945,0.042291,-46.755459
4.95,21.37682,5.97564,-3.609988,-3.005488,-43.133102
5.0,24.336171,2.492999,-8.975063,-5.662634,-37.669624
5.05,27.052832,-0.048875,-12.83643,-9.297854,-29.888809
5.1,29.351741,-1.840014,-15.54654,-15.154397,-19.22875
5.15,31.13679,-3.050105,-17.382391,-21.925194,-8.701527
5.2,32.402042,-3.826612,-18.567026,-27.214018,-1.201835
5.25,33.212775,-4.292436,-19.281658,-30.925334,3.945757
5.3,33.672973,-4.546544,-19.673113,-33.309275,7.301703
5.35,33.894889,-4.666512,-19.858377,-34.710714,9.340658
5.4,33.97792,-4.710983,-19.92713,-35.451516,10.462379
5.45,33.997127,-4.721239,-19.942993,-35.790618,10.994376
5.5,33.998411,-4.721922,-19.944045,-35.9163,11.191836
5.55,33.997174,-4.722223,-19.944048,-35.938973,11.237604
5.6,33.978603,-4.726756,-19.94412,-35.925006,11.240803
5.65,33.898048,-4.746372,-19.944402,-35.867676,11.240635
5.7,33.680493,-4.799031,-19.945102,-35.71761,11.235163
5.75,33.218519,-4.909303,-19.946271,-35.40017,11.210541
