timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2e-06,0.01713,0.023668,0.127447,7e-06
0.05,-2e-06,0.27377,0.379114,0.136567,4e-06
0.1,-1e-06,1.381923,1.928677,0.431936,-6e-06
0.15,0.0,4.340651,6.179519,1.524489,-3.2e-05
0.2,2e-06,10.538935,15.573492,4.469893,-8.6e-05
0.25,5e-06,20.564318,31.928081,10.500923,-0.000179
0.3,5e-06,27.479471,43.862751,15.177193,-0.000327
0.35,6e-06,31.034798,50.16499,17.53859,-0.000543
0.4,6e-06,32.419582,52.646661,18.210512,-0.000843
0.45,6e-06,32.744962,53.231834,18.008704,-0.001243
0.5,6e-06,32.766729,53.271012,17.530732,-0.001759
0.55,6e-06,32.766395,53.269994,17.00365,-0.002403
0.6,6e-06,32.761337,53.254667,16.438812,-0.003191
0.65,6e-06,32.739436,53.188295,15.814408,-0.004133
0.7,6e-06,32.680703,53.009962,15.092346,-0.00524
0.75,6e-06,32.58493,52.701972,14.25792,-0.00652
0.8,6e-06,32.583025,52.563705,13.482466,-0.00798
0.85,6e-06,32.630044,52.545502,12.764059,-0.009624
0.9,6e-06,32.6651,52.558104,12.077148,-0.011454
0.95,6e-06,32.684436,52.570764,11.397549,-0.013467
1.0,6e-06,32.649827,52.472532,10.655387,-0.015662
1.05,6e-06,32.032829,50.941945,9.060434,-0.018031
1.1,5e-06,29.561783,44.657119,4.56527,-0.020566
1.15,3e-06,24.167673,29.772716,-5.603585,-0.023253
1.2,1e-06,18.953874,16.178128,-14.657299,-0.02608
1.25,0.0,11.246264,8.705769,-15.08651,-0.029029
1.3,-1e-06,4.304339,5.347143,-12.156415,-0.032079
1.35,-1e-06,2.756083,4.844998,-11.749419,-0.035209
1.4,-1e-06,2.654971,4.818429,-12.29708,-0.038393
1.45,-1e-06,2.659574,4.832082,-12.890526,-0.041606
1.5,-1e-06,2.676956,4.890546,-13.42938,-0.044819
1.55,-1e-06,2.717969,5.046487,-13.869047,-0.048
1.6,0.0,2.796108,5.373419,-14.146666,-0.051119
1.65,0.0,2.898851,5.883113,-14.235135,-0.054141
1.7,0.0,2.933863,6.199907,-14.414966,-0.057034
1.75,0.0,2.950985,6.350498,-14.706485,-0.059762
1.8,0.0,2.957438,6.406489,-15.042477,-0.06229
1.85,0.0,2.958933,6.41942,-15.374324,-0.064584
1.9,0.0,2.959032,6.420275,-15.671756,-0.06661
1.95,2e-06,5.98624,11.799021,-13.570524,-0.068333
2.0,5e-06,12.646006,23.798336,-8.430535,-0.069723
2.05,6e-06,20.488409,37.657268,-2.560055,-0.070749
2.1,7e-06,27.613427,49.623821,2.191796,-0.071382
2.15,7e-06,31.958578,55.512134,3.704445,-0.071598
2.2,6e-06,31.286426,50.355529,2.444309,-0.050524
2.25,3e-06,24.147178,28.116076,-4.967301,-0.014896
2.3,0.0,19.487064,9.264253,-9.982495,5e-06
2.35,-1e-06,16.841001,1.744368,-7.168068,-0.010914
2.4,-1e-06,12.420826,-1.625078,-2.893279,-0.021813
2.45,-1e-06,6.562584,2.416815,4.302819,-0.012421
2.5,4e-06,4.848211,17.801208,14.953403,-0.000611
2.55,2.4e-05,9.619919,35.929093,20.613217,-0.006171
2.6,3.5e-05,12.198299,42.612048,18.269351,-0.027228
2.65,2.1e-05,10.382074,36.485853,11.255161,-0.040449
2.7,8e-06,6.860996,23.591805,4.77153,-0.026417
2.75,1e-06,4.375492,9.49788,0.386385,-0.00431
2.8,-2e-06,4.24106,-2.603524,-2.190543,-0.003657
2.85,-3e-06,6.460653,-11.717123,-4.133943,-0.034725
2.9,-4e-06,9.79484,-17.498009,-6.026276,-0.079718
2.95,-4e-06,11.789101,-19.929498,-7.562981,-0.102687
3.0,-4e-06,10.317173,-18.773601,-7.972993,-0.07861
3.05,-4e-06,6.111637,-12.518903,-5.107469,-0.032182
3.1,-1e-06,3.767421,2.147861,2.030147,-0.002205
3.15,9e-06,8.268806,26.180769,11.688014,-0.007336
3.2,2.2e-05,14.736625,44.145838,15.589972,-0.035113
3.25,2.3e-05,17.993404,50.28513,15.434291,-0.051925
3.3,1.5e-05,16.950878,44.615492,13.401296,-0.03737
3.35,8e-06,12.455479,29.098587,8.864905,-0.011346
3.4,1e-06,8.066967,10.471972,3.057292,-3.9e-05
3.45,-2e-06,6.909931,-2.793314,-0.620675,-0.014389
3.5,-3e-06,7.56354,-9.35524,-1.351515,-0.042712
3.55,-3e-06,7.650525,-11.344318,-0.833728,-0.05817
3.6,-3e-06,6.407104,-9.761954,-1.649979,-0.03713
3.65,-2e-06,5.039046,-2.457843,-1.662817,-0.005828
3.7,2e-06,6.235431,12.062777,1.295176,-0.003958
3.75,9e-06,9.573413,27.705027,4.913966,-0.032167
3.8,1.7e-05,10.023714,33.584703,6.700971,-0.05194
3.85,1.6e-05,7.430601,29.744357,7.238561,-0.041673
3.9,7e-06,5.309588,20.025614,4.102876,-0.020886
3.95,1e-06,6.09664,8.112623,-2.796605,-0.004446
4.0,-2e-06,9.911632,-2.1173,-11.041055,-0.00012
4.05,-2e-06,13.299683,-9.067994,-16.917953,-0.005066
4.1,-3e-06,12.098825,-12.75923,-17.623613,-0.009054
4.15,-3e-06,8.414033,-11.33126,-14.15083,-0.005347
4.2,-2e-06,5.431008,-4.485091,-8.421614,-0.000319
4.25,0.0,5.3911,6.664339,-2.562309,-0.002867
4.3,4e-06,8.190542,19.755123,2.398915,-0.015656
4.35,8e-06,12.38423,31.30538,5.655339,-0.032398
4.4,1e-05,14.893441,36.460383,6.661066,-0.040756
4.45,9e-06,14.557679,35.472915,6.430968,-0.038518
4.5,9e-06,13.228899,32.351696,5.782907,-0.032756
4.55,7e-06,11.180371,27.600921,4.76711,-0.025104
4.6,5e-06,8.759811,21.913419,3.547975,-0.017167
4.65,3e-06,6.312906,16.01991,2.329859,-0.010228
4.7,1e-06,4.115901,10.55946,1.294896,-0.005069
4.75,0.0,2.341381,6.004851,0.56258,-0.001905
4.8,-1e-06,1.062897,2.64866,0.171269,-0.000436
4.85,-2e-06,0.287972,0.633426,0.075286,-2.5e-05
4.9,-2e-06,1e-05,5e-06,0.151437,7e-06
4.95,-2e-06,1e-05,5e-06,0.151437,7e-06
