timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.0,0.0,0.0,0.0
0.05,2e-06,1.9e-05,1.4e-05,0.0,3e-06
0.1,2e-06,1.9e-05,1.4e-05,0.0,4.8e-05
0.15,2e-06,1.9e-05,1.4e-05,0.0,0.000245
0.2,2e-06,1.9e-05,1.4e-05,0.0,0.000774
0.25,2e-06,1.9e-05,1.4e-05,0.0,0.00189
0.3,2e-06,1.9e-05,1.4e-05,0.0,0.00392
0.35,2e-06,1.9e-05,1.4e-05,0.0,0.007262
0.4,2e-06,1.9e-05,1.4e-05,0.0,0.012388
0.45,2e-06,1.9e-05,1.4e-05,0.0,0.019844
0.5,2e-06,1.9e-05,1.4e-05,0.0,0.030245
0.55,2e-06,1.9e-05,1.4e-05,0.0,0.044282
0.6,2e-06,1.9e-05,1.4e-05,0.0,0.062716
0.65,2e-06,1.9e-05,1.4e-05,0.0,0.086383
0.7,2e-06,1.9e-05,1.4e-05,0.0,0.11619
0.75,2e-06,1.9e-05,1.4e-05,0.0,0.153116
0.8,2e-06,1.9e-05,1.4e-05,0.0,0.198215
0.85,2e-06,1.9e-05,1.4e-05,0.0,0.252611
0.9,2e-06,1.9e-05,1.4e-05,0.0,0.317502
0.95,2e-06,1.9e-05,1.4e-05,0.0,0.394158
1.0,2e-06,1.9e-05,1.4e-05,0.0,0.483923
1.05,2e-06,1.9e-05,1.4e-05,0.0,0.588211
1.1,2e-06,1.9e-05,1.4e-05,0.0,0.708511
1.15,2e-06,1.9e-05,1.4e-05,0.0,0.84179
1.2,2e-06,1.9e-05,1.4e-05,0.0,0.96209
1.25,2e-06,1.9e-05,1.4e-05,0.0,1.066378
1.3,2e-06,1.9e-05,1.4e-05,0.0,1.156143
1.35,2e-06,1.9e-05,1.4e-05,0.0,1.232799
1.4,2e-06,1.9e-05,1.4e-05,0.0,1.29769
1.45,2e-06,1.9e-05,1.4e-05,0.0,1.352086
1.5,2e-06,1.9e-05,1.4e-05,0.0,1.397185
1.55,2e-06,1.9e-05,1.4e-05,0.0,1.434111
1.6,2e-06,1.9e-05,1.4e-05,0.0,1.463918
1.65,2e-06,1.9e-05,1.4e-05,0.0,1.487585
1.7,2e-06,1.9e-05,1.4e-05,0.0,1.506019
1.75,2e-06,1.9e-05,1.4e-05,0.0,1.520056
1.8,2e-06,1.9e-05,1.4e-05,0.0,1.530457
1.85,2e-06,1.9e-05,1.4e-05,0.0,1.537913
1.9,2e-06,1.9e-05,1.4e-05,0.0,1.543039
1.95,2e-06,1.9e-05,1.4e-05,0.0,1.546381
2.0,2e-06,1.9e-05,1.4e-05,0.0,1.548411
2.05,2e-06,1.9e-05,1.4e-05,0.0,1.549527
2.1,2e-06,1.9e-05,1.4e-05,0.0,1.550056
2.15,2e-06,1.9e-05,1.4e-05,0.0,1.550253
2.2,2e-06,1.9e-05,1.4e-05,0.0,1.550298
2.25,2e-06,1.9e-05,1.4e-05,0.0,1.550301
2.3,2e-06,1.9e-05,1.4e-05,0.0,1.5503
2.35,2e-06,1.9e-05,1.4e-05,0.0,1.550278
2.4,2e-06,1.9e-05,1.4e-05,0.0,1.550187
2.45,2e-06,-0.000584,-0.00175,0.0,1.549939
2.5,1e-06,-0.009643,-0.028248,0.0,1.549418
2.55,1e-06,-0.048836,-0.143019,0.0,1.54847
2.6,1e-06,-0.153852,-0.451623,0.0,1.546908
2.65,1e-06,-0.372866,-1.100421,0.0,1.544513
2.7,1e-06,-0.762611,-2.273719,0.0,1.54103
2.75,0.0,-1.379941,-4.188128,0.0,1.536171
2.8,0.0,-2.265023,-7.083532,0.0,1.529614
2.85,-1e-06,-3.407533,-11.210252,0.0,1.521001
2.9,-3e-06,-4.671469,-16.811805,0.0,1.509945
2.95,-5e-06,-5.458266,-22.23997,0.0,1.49602
3.0,-6e-06,-5.642935,-26.023564,0.0,1.478769
3.05,-6e-06,-5.536726,-28.5705,0.0,1.4577
3.1,-7e-06,-5.344723,-30.205135,0.0,1.432288
3.15,-6e-06,-5.174391,-31.187207,0.0,1.401972
3.2,-6e-06,-5.061938,-31.723712,0.0,1.36616
3.25,-7e-06,-5.003716,-31.977245,0.0,1.324224
3.3,-7e-06,-4.981274,-32.071273,0.0,1.275503
3.35,-7e-06,-4.976029,-32.092955,0.0,1.219302
3.4,-7e-06,-4.975683,-32.094396,0.0,1.154891
3.45,-7e-06,-4.975683,-32.094396,0.0,1.081508
3.5,-7e-06,-4.975683,-32.094396,0.0,0.998356
3.55,-7e-06,-4.975683,-32.094396,0.0,0.904603
3.6,-7e-06,-4.975683,-32.094396,0.0,0.802363
3.65,-7e-06,-4.975683,-32.094396,0.0,0.70861
3.7,-7e-06,-4.975683,-32.094396,0.0,0.625458
3.75,-7e-06,-4.975683,-32.094396,0.0,0.552075
3.8,-7e-06,-4.975683,-32.094396,0.0,0.487664
3.85,-7e-06,-4.975683,-32.094396,0.0,0.431463
3.9,-7e-06,-4.975683,-32.094396,0.0,0.382742
3.95,-7e-06,-4.975683,-32.094396,0.0,0.340806
4.0,-7e-06,-4.975683,-32.094396,0.0,0.304994
4.05,-7e-06,-4.975683,-32.094396,0.0,0.274679
4.1,-7e-06,-4.975683,-32.094396,0.0,0.249266
4.15,-7e-06,-4.975683,-32.094396,0.0,0.228197
4.2,-7e-06,-4.975683,-32.094396,0.0,0.210946
4.25,-7e-06,-4.975683,-32.094396,0.0,0.197021
4.3,-7e-06,-4.975683,-32.094396,0.0,0.185965
4.35,-7e-06,-4.975683,-32.094396,0.0,0.177352
4.4,-7e-06,-4.975683,-32.094396,0.0,0.170795
4.45,-7e-06,-4.975683,-32.094396,0.0,0.165936
4.5,-7e-06,-4.975683,-32.094396,0.0,0.162453
4.55,-7e-06,-4.975683,-32.094396,0.0,0.160058
