timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-0.058727,-0.008903,-0.019958,-0.030649,0.052493
0.05,-0.058782,-0.027036,-0.013729,-0.029397,0.05246
0.1,-0.059614,-0.297898,0.080822,-0.011756,0.051949
0.15,-0.063264,-1.449198,0.509004,0.0458,0.049469
0.2,-0.073204,-4.36085,1.807636,0.047728,0.040438
0.25,-0.087913,-8.780272,4.584123,-0.488023,0.015191
0.3,-0.091312,-10.871104,6.417951,-1.098394,-0.004054
0.35,-0.09201,-11.568515,7.14437,-1.379852,-0.011569
0.4,-0.092127,-11.723323,7.315443,-1.448888,-0.013322
0.45,-0.092134,-11.733559,7.326908,-1.45355,-0.013439
0.5,-0.092054,-11.736557,7.319502,-1.464539,-0.013346
0.55,-0.090849,-11.78161,7.208625,-1.629636,-0.01195
0.6,-0.085635,-11.975807,6.727921,-2.347465,-0.005931
0.65,-0.071671,-12.490597,5.431535,-4.300449,0.010011
0.7,-0.042907,-13.524262,2.667387,-8.514037,0.042406
0.75,0.005522,-15.106355,-2.649167,-16.470752,0.096672
0.8,0.058451,-16.471882,-11.260307,-28.824471,0.158462
0.85,0.0812,-15.252868,-19.209726,-37.129325,0.186474
0.9,0.093551,-10.073754,-25.913594,-41.006536,0.189285
0.95,0.098154,-6.005063,-28.695742,-43.011194,0.17954
1.0,0.098576,-4.295036,-29.587263,-43.834692,0.174867
1.05,0.098576,-3.885387,-29.781506,-44.030446,0.173722
1.1,0.098575,-3.857877,-29.794306,-44.043563,0.173645
1.15,0.098457,-3.839422,-29.743712,-44.045055,0.173216
1.2,0.096681,-3.55949,-28.983447,-44.069743,0.166793
1.25,0.088702,-2.283142,-25.65965,-44.222067,0.139351
1.3,0.070939,0.781611,-18.125959,-44.18614,0.082954
1.35,0.061708,2.639564,-12.337485,-40.012433,0.055986
1.4,0.044906,3.964047,-6.623422,-30.963727,0.046487
1.45,0.000262,6.116039,0.685064,-18.661147,0.03599
1.5,-0.044623,8.144277,5.521303,-11.041617,0.033063
1.55,-0.067643,9.15617,6.434124,-5.924739,0.037785
1.6,-0.058199,8.741621,0.040886,1.225595,0.054411
1.65,-0.038183,9.76124,-6.750968,6.296666,0.068975
1.7,-0.033419,10.743759,-8.151932,7.046193,0.072684
1.75,-0.032988,11.193681,-8.129976,6.892349,0.072822
1.8,-0.0334,11.41219,-7.901562,6.663469,0.072404
1.85,-0.040067,11.113368,-5.592352,5.122055,0.066865
1.9,-0.067447,11.69631,4.592472,-2.688544,0.04542
1.95,-0.082089,15.372698,15.15633,-13.230009,0.018767
2.0,-0.059602,16.067098,15.644301,-19.311677,-0.00084
2.05,-0.017247,15.092538,11.372221,-26.805048,-0.022921
2.1,0.020931,13.976065,4.932912,-38.193257,-0.043142
2.15,0.034197,12.880324,-0.813303,-46.074417,-0.046094
2.2,0.047035,9.675148,-9.453642,-48.466794,-0.007484
2.25,0.077394,4.252949,-22.795003,-45.983791,0.089524
2.3,0.093196,2.080786,-28.614753,-44.779851,0.137642
2.35,0.098012,1.014504,-30.173494,-44.416211,0.153105
2.4,0.100038,-0.196619,-30.726409,-44.202597,0.162531
2.45,0.101816,-1.95078,-31.18647,-43.974609,0.174115
2.5,0.094502,-3.208031,-28.488924,-44.612207,0.160525
2.55,0.065209,0.062865,-17.042136,-47.336349,0.071077
2.6,0.057149,0.901337,-11.280681,-44.05625,0.048381
2.65,0.049104,0.687142,-6.421195,-34.399001,0.04925
2.7,0.003055,1.824686,1.093578,-20.532795,0.039734
2.75,-0.04275,2.552858,5.007554,-11.831692,0.035088
2.8,-0.059211,1.434044,3.488872,-5.237244,0.042618
2.85,-0.058861,0.232927,0.660224,-1.04603,0.050844
2.9,-0.058736,0.005532,0.022313,-0.093849,0.052395
2.95,-0.058727,-0.008937,-0.020048,-0.03058,0.052494
