timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.347975,-0.044431,-0.182049,-0.010545,-1.1e-05
0.05,1.464689,-0.178207,-0.755959,0.440078,-1.1e-05
0.1,3.681372,-0.398812,-1.833791,1.318172,-1.1e-05
0.15,10.620802,-0.428545,-3.771904,3.292799,-1.2e-05
0.2,17.094874,-1.317425,-10.087069,8.783533,-1e-05
0.25,18.986826,-1.421596,-11.994791,10.606683,-1.2e-05
0.3,19.911396,-1.447396,-12.982389,11.578217,-1.1e-05
0.35,20.195346,-1.490097,-13.509565,12.065713,-1.1e-05
0.4,19.803077,-1.598466,-13.702687,12.146301,-1.1e-05
0.45,18.57209,-1.518601,-12.118244,10.628807,-1e-05
0.5,16.295059,-0.342884,-5.80575,5.468597,-1e-05
0.55,12.439127,8.887206,21.191842,-12.337432,-1.2e-05
0.6,5.120324,11.822531,29.222903,-17.50357,-1.1e-05
0.65,-18.689109,12.405603,31.306305,-19.23469,-1.3e-05
0.7,-25.862243,12.041915,29.931818,-18.303135,-1e-05
0.75,-29.649168,10.002759,24.727913,-15.184139,-9e-06
0.8,-31.946789,2.91609,6.667985,-4.240331,-1e-05
0.85,-33.166074,1.454169,2.290358,-1.340858,-1e-05
0.9,-33.551966,1.102857,1.158856,-0.565901,-8e-06
0.95,-33.20141,1.291989,1.814401,-1.027566,-1.1e-05
1.0,-32.103979,1.956647,4.003443,-2.53729,-9e-06
1.05,-30.098366,3.64008,9.000025,-5.824554,-1.3e-05
1.1,-26.788603,11.017154,27.474622,-16.881589,-8e-06
1.15,-21.30404,13.459272,33.534347,-20.437014,-9e-06
1.2,-4.235541,14.69723,36.450828,-21.944932,-1e-05
1.25,12.58445,15.96006,37.67001,-21.741325,-1e-05
1.3,17.90447,16.079254,37.013625,-20.912158,-1.3e-05
1.35,21.043283,15.193194,34.301012,-19.052538,-1.4e-05
1.4,22.944253,11.207371,24.320053,-13.036703,-1.4e-05
1.45,23.975315,7.722894,15.128963,-7.318608,-1e-05
1.5,24.305334,6.904015,12.808399,-5.81322,-9e-06
1.55,24.12487,6.628089,12.128959,-5.411736,-9e-06
1.6,23.577202,7.031159,13.434037,-6.319861,-9e-06
1.65,22.619812,8.86774,18.572879,-9.632717,-1.2e-05
1.7,21.176134,17.990291,40.666233,-22.619239,-1.4e-05
1.75,19.008982,20.809998,47.394327,-26.550624,-1.2e-05
1.8,15.734889,21.360578,49.16267,-27.802082,-1.4e-05
1.85,9.990384,20.431372,47.924422,-27.549732,-1.2e-05
1.9,-8.605806,18.178562,44.249589,-26.304057,-1e-05
1.95,-14.908768,14.980478,37.205768,-22.520351,-1.1e-05
2.0,-18.645117,6.125136,16.618497,-10.826855,-1.2e-05
2.05,-21.165607,3.990253,11.147058,-7.517229,-9e-06
2.1,-22.899778,3.123784,8.759006,-6.014713,-1.4e-05
2.15,-24.041347,2.902428,8.050709,-5.540572,-1.3e-05
2.2,-24.690169,3.17749,8.685878,-5.908071,-1e-05
2.25,-24.895336,4.001505,10.782012,-7.182541,-1.2e-05
2.3,-24.320779,5.874448,15.538685,-10.059701,-1.1e-05
2.35,-22.481761,13.298071,33.087902,-20.164684,-1e-05
2.4,-18.973586,15.803429,38.889424,-23.422973,-9e-06
2.45,-12.023214,16.972429,41.634279,-24.928128,-1.3e-05
2.5,10.379973,18.124218,42.809573,-24.738267,-1.3e-05
2.55,16.776215,17.497293,40.433094,-22.925188,-1.5e-05
2.6,19.905968,11.29568,25.371684,-14.032838,-9e-06
2.65,21.478443,6.248357,12.094473,-5.786126,-1.2e-05
2.7,21.968882,5.610277,10.172196,-4.496606,-1e-05
2.75,21.854478,5.756149,10.617397,-4.797179,-1e-05
2.8,21.501249,6.239245,12.061796,-5.762325,-1e-05
2.85,20.875211,7.268336,15.006516,-7.684683,-1.1e-05
2.9,19.907181,11.179818,25.091289,-13.868288,-1.4e-05
2.95,18.404961,15.753297,36.169233,-20.38853,-1.5e-05
3.0,15.742782,17.128374,39.78675,-22.658263,-1.2e-05
3.05,7.128343,17.337503,41.452678,-24.199326,-1e-05
3.1,4.128247,17.447728,41.992228,-24.657099,-1.1e-05
3.15,2.341576,16.883951,40.898285,-24.143756,-1.1e-05
3.2,1.149002,15.294795,37.462765,-22.308612,-1.1e-05
3.25,0.369566,12.088507,30.283553,-18.343001,-1.1e-05
3.3,-0.074811,3.278113,9.018296,-5.892323,-1.1e-05
3.35,-0.219504,1.150245,3.309295,-2.312546,-1.1e-05
3.4,-0.217678,0.266695,0.805825,-0.692611,-1.1e-05
3.45,-0.211992,0.008476,0.055504,-0.200453,-1.1e-05
3.5,-0.201738,0.008786,0.05493,-0.199475,-1.1e-05
3.55,-0.185073,0.008898,0.052856,-0.197135,-1.1e-05
3.6,-0.155457,0.00901,0.048901,-0.192797,-1.1e-05
3.65,-0.064008,0.011147,0.041906,-0.182797,-1.1e-05
3.7,-0.034407,0.00356,0.015419,-0.163616,-1.1e-05
3.75,-0.017752,0.001592,0.007232,-0.157248,-1.1e-05
3.8,-0.007505,0.000645,0.002968,-0.153832,-1.1e-05
3.85,-0.001822,0.000164,0.000731,-0.152022,-1.1e-05
3.9,7e-06,1.4e-05,2.2e-05,-0.151447,-1.1e-05
3.95,0.0,0.0,0.0,0.0,0.0
