timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-0.000655,-1.7e-05,2.7e-05,-0.000633,0.000985
0.05,-0.005301,-0.000277,-5.1e-05,-0.00202,0.003904
0.1,-0.017912,-0.000976,-0.000251,-0.003922,0.00873
0.15,-0.042472,-0.002335,-0.000651,-0.006273,0.015457
0.2,-0.082965,-0.004573,-0.001293,-0.009055,0.024107
0.25,-0.137907,-0.0076,-0.002167,-0.012268,0.034723
0.3,-0.178416,-0.009826,-0.002815,-0.015931,0.047379
0.35,-0.20299,-0.01117,-0.003199,-0.02007,0.062175
0.4,-0.21561,-0.011864,-0.003397,-0.024727,0.07925
0.45,-0.220259,-0.012113,-0.003474,-0.029953,0.098782
0.5,-0.220923,-0.012153,-0.003486,-0.035822,0.121008
0.55,-0.521209,-0.028357,-0.00818,-0.042425,0.146239
0.6,-2.631232,-0.131225,-0.038349,-0.049889,0.174886
0.65,-7.255395,-0.290051,-0.087704,-0.058389,0.207513
0.7,-9.377772,-0.332375,-0.10283,-0.068176,0.24491
0.75,-9.680434,-0.336827,-0.104608,-0.079638,0.288242
0.8,-9.562842,-0.335144,-0.103933,-0.093419,0.339345
0.85,-8.739009,-0.321673,-0.098776,-0.11076,0.401419
0.9,-6.498929,-0.270309,-0.081176,-0.134762,0.48106
0.95,-2.141803,-0.109066,-0.031785,-0.184485,0.597605
1.0,4.915662,0.326658,0.093152,-0.25681,1.293206
1.05,11.654132,0.958103,0.272134,-0.495558,3.740954
1.1,15.525889,1.427142,0.406908,-1.358385,10.515816
1.15,17.442015,1.691083,0.48379,-3.629561,30.002924
1.2,18.135066,1.792064,0.513416,-9.67476,46.092999
1.25,18.233509,1.806651,0.517707,-15.28633,55.101431
1.3,18.131497,1.791544,0.513274,-17.301108,59.449557
1.35,17.413166,1.686941,0.482576,-17.660018,55.528475
1.4,15.42587,1.413966,0.403093,-16.550768,46.659799
1.45,11.405619,0.930776,0.264346,-12.904638,35.121427
1.5,4.400566,0.287337,0.082022,-6.847063,22.056115
1.55,-5.587953,-0.24329,-0.072519,-1.996031,8.186959
1.6,-13.014691,-0.359473,-0.117808,1.530913,-5.934256
1.65,-17.426652,-0.312587,-0.116854,3.22008,-19.803413
1.7,-19.643578,-0.254256,-0.108035,1.590447,-32.868721
1.75,-20.450244,-0.22697,-0.103357,-4.896067,-44.40709
1.8,-20.565006,-0.222828,-0.10262,-7.627748,-53.27579
1.85,-20.313647,-0.231828,-0.104204,-7.195002,-57.196851
1.9,-18.538628,-0.286346,-0.113159,-5.554963,-52.859367
1.95,-13.604929,-0.358363,-0.118918,-3.386152,-43.870244
2.0,-3.745427,-0.177838,-0.052322,-1.183062,-27.806509
2.05,5.965335,0.410611,0.116902,0.136949,1.089008
2.1,10.726436,0.857739,0.243554,-1.737288,30.002924
2.15,12.426968,1.045161,0.296995,-5.005868,46.092948
2.2,12.667332,1.072896,0.304924,-8.274447,55.1014
2.25,12.59887,1.064967,0.302656,-10.148684,59.449564
2.3,12.118165,1.009991,0.286937,-9.172293,56.284871
2.35,10.800551,0.865591,0.24579,-7.247824,49.580408
2.4,8.183662,0.605135,0.171918,-4.086493,37.207882
2.45,3.740568,0.238718,0.068243,-1.152645,18.4671
2.5,-2.472824,-0.12416,-0.036248,-0.209102,1.090945
2.55,-7.120036,-0.286698,-0.086577,-0.679726,-16.279954
2.6,-9.937989,-0.340305,-0.106043,-3.177772,-35.000628
2.65,-11.379182,-0.354457,-0.112799,-6.092233,-47.35044
2.7,-11.908633,-0.357372,-0.114726,-7.873781,-54.040013
2.75,-11.984192,-0.357692,-0.114982,-8.779916,-57.196831
2.8,-11.600158,-0.355828,-0.113643,-7.921591,-53.877147
2.85,-8.900492,-0.324538,-0.099841,-6.262629,-46.792687
2.9,-2.996446,-0.14709,-0.043081,-4.238959,-38.001318
2.95,-0.302648,-0.016598,-0.004767,-1.983541,-28.502338
3.0,0.080295,0.004494,0.001327,-0.088807,-19.003352
3.05,0.080291,0.004494,0.001327,1.053013,-10.21199
3.1,0.080248,0.004495,0.001324,1.628654,-3.127537
3.15,0.080137,0.004488,0.001322,1.785259,0.192152
3.2,0.079922,0.004476,0.001324,1.644826,0.192152
3.25,0.079564,0.004454,0.001316,1.313614,0.192152
3.3,0.079033,0.004424,0.001301,0.888871,0.192152
3.35,0.078289,0.004386,0.001297,0.464162,0.192152
3.4,0.0773,0.00433,0.001279,0.13422,0.192152
3.45,0.07603,0.004258,0.001264,0.0,0.192152
