timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,6e-05,-0.001113,-0.00029,-0.131191,-0.001687
0.05,0.000117,-0.00272,-0.000731,-0.504153,-0.004087
0.1,0.000179,-0.005042,-0.001378,-1.087978,-0.00751
0.15,0.000247,-0.008398,-0.002348,-1.851758,-0.012395
0.2,0.00032,-0.013249,-0.003799,-2.76459,-0.019364
0.25,0.000401,-0.020284,-0.006014,-3.795572,-0.029308
0.3,0.000489,-0.030476,-0.00938,-4.913803,-0.043497
0.35,0.000586,-0.045288,-0.014598,-6.088384,-0.063742
0.4,0.00069,-0.066845,-0.022782,-7.288418,-0.092629
0.45,0.000804,-0.098317,-0.035756,-8.483004,-0.133845
0.5,0.000931,-0.144411,-0.056639,-9.64124,-0.192653
0.55,0.001071,-0.21121,-0.087858,-10.732229,-0.276562
0.6,0.001226,-0.302985,-0.119761,-11.725061,-0.396285
0.65,0.0014,-0.431915,-0.156128,-12.588832,-0.567105
0.7,0.001598,-0.615776,-0.20291,-13.292627,-0.810828
0.75,0.001829,-0.879447,-0.266511,-13.805536,-1.158558
0.8,0.002107,-1.258296,-0.354506,-14.096634,-1.654652
0.85,0.002454,-1.802812,-0.476124,-14.135002,-2.362342
0.9,0.002914,-2.585059,-0.641916,-13.889699,-3.371694
0.95,0.003469,-3.364897,-0.79702,-13.329787,-4.683091
1.0,0.004048,-3.904833,-0.898451,-12.424322,-5.688592
1.05,0.004647,-4.27895,-0.965858,-11.571236,-6.391225
1.1,0.005275,-4.538305,-1.01119,-10.976176,-6.882542
1.15,0.005931,-4.717752,-1.040885,-10.512964,-7.226249
1.2,0.006622,-4.841859,-1.06023,-10.134452,-7.466775
1.25,0.007356,-4.927386,-1.072055,-9.816841,-7.635151
1.3,0.008141,-4.985818,-1.077926,-9.546135,-7.753049
1.35,0.008986,-5.024927,-1.078432,-9.31329,-7.835616
1.4,0.009897,-5.049818,-1.07325,-9.112063,-7.893447
1.45,0.01088,-5.06357,-1.060991,-8.937955,-7.933953
1.5,0.011943,-5.067601,-1.038961,-8.787593,-7.962331
1.55,0.0131,-5.061792,-1.00253,-8.658392,-7.982213
1.6,0.014355,-5.044297,-0.944175,-8.548324,-7.996138
1.65,0.015717,-5.011061,-0.851913,-8.455772,-8.005899
1.7,0.0172,-4.954965,-0.706875,-8.379437,-8.012732
1.75,0.018811,-4.864202,-0.479366,-8.318259,-8.017524
1.8,0.020566,-4.719761,-0.122644,-8.271374,-8.020882
1.85,0.022474,-4.491142,0.436904,-8.238079,-8.023232
1.9,0.024547,-4.167851,1.218021,-8.217798,-8.024876
1.95,0.026802,-3.932222,1.782414,-8.210065,-8.020981
2.0,0.029252,-3.779089,2.144536,-8.214513,-8.015076
2.05,0.031913,-3.678491,2.37689,-8.230855,-8.00612
2.1,0.034805,-3.610607,2.526184,-8.258881,-7.992488
2.15,0.037934,-3.562088,2.622565,-8.298448,-7.971728
2.2,0.041319,-3.523568,2.68546,-8.349481,-7.940115
2.25,0.044966,-3.487845,2.727538,-8.411964,-7.891992
2.3,0.048873,-3.448559,2.757203,-8.485942,-7.81873
2.35,0.053027,-3.399045,2.780287,-8.571521,-7.707196
2.4,0.057392,-3.331146,2.801177,-8.668871,-7.537408
2.45,0.061895,-3.233908,2.823752,-8.778231,-7.278964
2.5,0.066411,-3.091717,2.852102,-8.8999,-6.885562
2.55,0.070734,-2.881798,2.891386,-9.034268,-6.28677
2.6,0.074568,-2.570486,2.949025,-9.181804,-5.375387
2.65,0.077495,-2.107631,3.036606,-9.34308,-3.988291
2.7,0.079003,-1.419236,3.170814,-9.518777,-1.877217
2.75,0.079244,-0.493713,3.364254,-9.709718,0.999706
2.8,0.081504,0.199323,3.517245,-9.916879,3.110998
2.85,0.08557,0.665918,3.622212,-10.141443,4.498517
2.9,0.090997,0.97896,3.690723,-10.384831,5.410504
2.95,0.09756,1.187689,3.731428,-10.648773,6.010057
3.0,0.105154,1.325002,3.74978,-10.935398,6.404373
3.05,0.113734,1.412629,3.74841,-11.247365,6.663898
3.1,0.123295,1.464467,3.727054,-11.588042,6.834947
3.15,0.133865,1.488797,3.682576,-11.961807,6.947953
3.2,0.145486,1.489588,3.608343,-12.374493,7.022928
3.25,0.158223,1.467177,3.493285,-12.83416,7.073019
3.3,0.172151,1.418412,3.32023,-13.352494,7.106861
3.35,0.187357,1.336248,3.06346,-13.947556,7.130094
3.4,0.203945,1.208938,2.684945,-14.650057,7.146368
3.45,0.222028,1.018597,2.128953,-15.520867,7.157948
3.5,0.241732,0.739417,1.31443,-16.723022,7.166116
3.55,0.263197,0.335587,0.124115,-18.443177,7.171355
3.6,0.286574,-0.057712,-1.057582,-20.389421,7.168228
3.65,0.312051,-0.319341,-1.856812,-22.256614,7.160987
3.7,0.33979,-0.493824,-2.398251,-23.51176,7.150421
3.75,0.369989,-0.610618,-2.765478,-24.33907,7.137557
3.8,0.40287,-0.688945,-3.014714,-24.979335,7.122558
3.85,0.438676,-0.741566,-3.183965,-25.506819,7.105036
3.9,0.477672,-0.777078,-3.298943,-25.956208,7.084118
3.95,0.520152,-0.801412,-3.377154,-26.347021,7.058413
