timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,8e-06,-0.027042,0.001583,-2.20702,0.001008
0.05,8e-06,-0.860406,0.058798,-8.477801,0.016192
0.1,1.8e-05,-6.246485,0.877112,-14.209309,0.081235
0.15,0.00023,-11.061707,2.430735,-23.357637,0.235466
0.2,-0.000407,-11.716009,2.719517,-34.350927,0.401226
0.25,-0.000373,-11.736869,2.729088,-41.482187,0.517159
0.3,-0.000373,-11.736831,2.729001,-43.869509,0.558162
0.35,-0.000377,-11.735412,2.726552,-42.0377,0.526535
0.4,-0.000399,-11.725771,2.709855,-36.556962,0.435741
0.45,-0.000513,-11.689959,2.648122,-27.475869,0.299867
0.5,-0.002395,-11.592844,2.482673,-15.806108,0.156987
0.55,0.00032,-11.372963,2.119746,-7.210389,0.076596
0.6,0.000108,-10.928217,1.428156,-2.839693,0.041692
0.65,4.4e-05,-10.083389,0.248567,-3.028459,0.032357
0.7,4.4e-05,-10.084142,0.249082,-5.353143,0.044381
0.75,4.5e-05,-10.10748,0.264715,-12.292121,0.091481
0.8,4.9e-05,-10.265595,0.371843,-23.657045,0.205016
0.85,7.6e-05,-10.840489,0.777594,-34.306667,0.35816
0.9,-0.000242,-12.305463,1.940638,-38.656784,0.466508
0.95,-0.000243,-12.305463,1.940638,-40.982774,0.505024
1.0,-0.000242,-12.305463,1.940653,-39.948991,0.487767
1.05,-0.000242,-12.305487,1.94067,-36.8476,0.43735
1.1,-0.000242,-12.305539,1.940747,-31.678503,0.358162
1.15,-0.000242,-12.30571,1.940945,-24.441531,0.258524
1.2,-0.000243,-12.306086,1.941381,-15.653376,0.157182
1.25,-0.000242,-12.306797,1.942271,-8.415253,0.091481
1.3,-0.000241,-12.308074,1.943798,-3.243577,0.055015
1.35,-0.000239,-12.310166,1.946322,-0.137664,0.03747
1.4,-0.000236,-12.313427,1.950262,0.903284,0.032355
1.45,-0.000232,-12.318278,1.956151,-2.109993,0.048351
1.5,-0.000228,-12.325264,1.964597,-11.166734,0.114849
1.55,-0.000221,-12.334984,1.976408,-24.753803,0.263369
1.6,-0.000212,-12.348214,1.992465,-33.79693,0.391293
1.65,-0.000203,-12.365771,2.013835,-36.782078,0.438435
1.7,-0.00019,-12.388656,2.041787,-34.63119,0.405473
1.75,-0.000177,-12.417969,2.077708,-28.2657,0.312918
1.8,-0.000162,-12.454939,2.123251,-17.68268,0.182154
1.85,-0.000148,-12.500942,2.180233,-7.079326,0.084463
1.9,-0.000133,-12.557441,2.250782,-0.652196,0.04313
1.95,-0.000119,-12.626049,2.337253,1.602897,0.032355
2.0,-0.000105,-12.708469,2.442294,0.331338,0.03968
2.05,-9.3e-05,-12.806483,2.56893,-3.821113,0.066028
2.1,-8.2e-05,-12.921899,2.720536,-10.849341,0.124151
2.15,-7.2e-05,-13.056591,2.900911,-20.018303,0.224839
2.2,-6.3e-05,-13.212338,3.114347,-26.94456,0.320037
2.25,-5.6e-05,-13.390852,3.365665,-30.891979,0.383867
2.3,-4.9e-05,-13.59366,3.660355,-31.853578,0.406182
2.35,-4.9e-05,-13.593588,3.660226,-28.993969,0.362924
2.4,-4.9e-05,-13.591204,3.656627,-20.420522,0.245613
2.45,-5e-05,-13.575003,3.632043,-7.592218,0.109118
2.5,-5.1e-05,-13.514753,3.541286,0.83595,0.047399
2.55,-5.7e-05,-13.350595,3.298713,3.288918,0.032352
2.6,-7.8e-05,-12.976439,2.769945,0.710085,0.040828
2.65,-0.000391,-12.207284,1.775909,-6.080861,0.072016
2.7,5.6e-05,-10.709019,0.126451,-17.608316,0.142614
2.75,5.6e-05,-10.709382,0.127255,-25.986986,0.23514
2.8,5.7e-05,-10.720828,0.152267,-30.978466,0.300378
2.85,6.3e-05,-10.798043,0.322856,-32.406625,0.323636
2.9,9.7e-05,-11.073653,0.961025,-29.97492,0.302539
2.95,-0.000373,-11.736869,2.729088,-22.989852,0.242956
3.0,-0.000375,-11.736873,2.729072,-15.400168,0.156828
3.05,-0.000374,-11.736749,2.729011,-5.533887,0.071567
3.1,-0.000375,-11.73588,2.728632,2.054262,0.027982
3.15,-0.000379,-11.732684,2.72715,6.603164,0.011394
3.2,-0.000394,-11.724075,2.723213,8.108443,0.007485
3.25,-0.000427,-11.705026,2.714481,6.705628,0.010992
3.3,-0.000506,-11.667986,2.697565,2.526538,0.025503
3.35,-0.000768,-11.602409,2.667819,-4.444137,0.062808
3.4,-0.005361,-11.494333,2.619139,-11.476324,0.116027
3.45,0.000633,-11.324507,2.544153,-15.846527,0.15529
3.5,0.000234,-11.070015,2.434265,-17.58603,0.169556
3.55,0.000122,-10.70039,2.280279,-17.13328,0.159367
3.6,7.1e-05,-10.177549,2.073397,-14.933992,0.130572
3.65,4.5e-05,-9.453272,1.807,-11.043019,0.088646
3.7,3.4e-05,-8.466411,1.47939,-5.523299,0.043178
3.75,2.3e-05,-7.139224,1.09817,-0.397632,0.013714
3.8,1.5e-05,-5.373125,0.686486,2.305985,0.002707
3.85,1.1e-05,-3.044175,0.292159,2.511508,0.000162
3.9,7e-06,5e-06,5e-06,0.151437,-7e-06
3.95,0.0,0.0,0.0,0.0,0.0
