timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.0,0.0,0.0,0.0
0.05,-1.586977,2.085892,2.186227,-3.73755,-0.078958
0.1,-2.372743,3.061681,3.299812,-5.513213,-0.069088
0.15,-3.228542,4.062827,4.535407,-7.363503,-0.01294
0.2,-4.111843,5.008434,5.829185,-9.150895,0.101281
0.25,-5.009508,5.859958,7.146111,-10.809871,0.276685
0.3,-5.924321,6.604664,8.463045,-12.317516,0.510231
0.35,-6.862184,7.239795,9.754666,-13.66586,0.795686
0.4,-7.826237,7.765847,10.989679,-14.850692,1.125505
0.45,-8.81765,8.188545,12.136272,-15.875824,1.491347
0.5,-9.832687,8.514885,13.162283,-16.746902,1.884614
0.55,-10.86376,8.7541,14.039813,-17.47368,2.296277
0.6,-11.899527,8.916636,14.747439,-18.068606,2.716883
0.65,-12.925567,9.013509,15.272018,-18.545844,3.136711
0.7,-13.925376,9.055883,15.609882,-18.920509,3.546078
0.75,-14.881485,9.054777,15.767336,-19.208015,3.935755
0.8,-15.776542,9.020866,15.760523,-19.423595,4.297386
0.85,-16.594254,8.964342,15.614712,-19.581884,4.623836
0.9,-17.320074,8.894785,15.363109,-19.696666,4.909419
0.95,-17.941635,8.821042,15.045249,-19.780636,5.15002
1.0,-18.448875,8.751076,14.705025,-19.845226,5.343113
1.05,-18.833931,8.691806,14.388415,-19.90047,5.487669
1.1,-19.090792,8.648946,14.140974,-19.954847,5.584218
1.15,-19.214857,8.626855,14.005192,-20.015166,5.634488
1.2,-19.202416,8.628419,14.01789,-20.086453,5.64154
1.25,-19.050202,8.654992,14.207838,-20.171866,5.609153
1.3,-18.755081,8.706409,14.593495,-20.272673,5.539963
1.35,-18.313957,8.781079,15.182406,-20.388253,5.432561
1.4,-17.723943,8.876173,15.970116,-20.516203,5.434771
1.45,-16.982815,8.987869,16.941748,-20.652498,5.205992
1.5,-16.089667,9.111683,18.07434,-20.791738,4.929844
1.55,-15.045722,9.242825,19.335769,-20.927426,4.598292
1.6,-13.855102,9.376552,20.428514,-21.052349,4.198267
1.65,-12.52543,9.508477,22.229957,-21.158939,3.714269
1.7,-11.068078,9.635166,23.796814,-21.239684,3.133557
1.75,-9.498069,9.753911,25.014706,-21.28749,2.452586
1.8,-7.83243,9.863276,25.79981,-21.296038,1.682502
1.85,-6.090279,9.96207,25.916098,-21.260077,0.850731
1.9,-4.290177,10.046148,25.938063,-21.175646,-0.002864
1.95,-2.451546,10.103936,25.320944,-21.040236,-0.834571
2.0,-0.601927,10.352314,24.316276,-20.852854,-1.607102
2.05,1.212751,10.249378,22.997319,-20.614013,-2.297875
2.1,3.567183,10.083553,21.434991,-20.325921,-2.902406
2.15,4.96218,9.849578,19.686104,-19.991936,-3.431634
2.2,6.191998,9.54092,17.793452,-19.616817,-3.904878
2.25,7.29809,9.154742,15.796349,-19.205543,-4.337586
2.3,8.30974,8.693764,13.733998,-18.760701,-4.740558
2.35,9.223364,8.170958,11.646554,-18.279695,-5.112032
2.4,10.02444,7.601956,9.558009,-17.96637,-5.446055
2.45,10.686475,7.00318,7.482878,-17.279007,-5.724106
2.5,11.191134,6.389275,5.429608,-16.603234,-5.938473
2.55,11.529349,5.776014,3.421263,-15.928848,-6.094507
2.6,11.536722,5.218507,1.515735,-15.28201,-6.126206
2.65,11.51693,4.67501,-0.25099,-14.672252,-6.146976
2.7,11.442677,4.191118,-1.782998,-14.137363,-6.143928
2.75,11.286302,3.81714,-2.977482,-13.717644,-6.104146
2.8,11.01992,3.596828,-3.751361,-13.446108,-6.015214
2.85,10.613159,3.688084,-3.689447,-13.473603,-5.858511
2.9,10.042442,3.853077,-3.487769,-13.552936,-5.637115
2.95,9.277908,4.136664,-3.021249,-13.728958,-5.338082
3.0,8.235774,4.587631,-2.1646,-14.046848,-4.928509
3.05,6.995753,5.246339,-0.721646,-14.573735,-4.437354
3.1,5.58439,6.031924,1.143114,-15.247622,-3.879446
3.15,4.025199,6.805872,3.069615,-15.938856,-3.270861
3.2,2.330058,7.519249,4.938033,-16.604767,-2.619059
3.25,0.508548,8.123347,6.602773,-17.196745,-1.920978
3.3,-1.411259,8.580923,7.931935,-17.670485,-1.191621
3.35,-3.386942,8.887761,8.895957,-18.015275,-0.45122
3.4,-5.340928,9.043894,9.471101,-18.222755,0.272767
3.45,-7.188497,9.010122,9.445116,-18.221971,0.948436
3.5,-8.852209,8.924404,9.345149,-18.190783,1.554558
3.55,-10.282461,8.789572,9.121196,-18.113875,2.0733
3.6,-11.461636,8.544005,8.462996,-17.888339,2.495984
3.65,-12.393685,8.255748,7.628848,-17.601891,2.827121
3.7,-13.100281,7.944207,6.685422,-17.277546,3.075419
3.75,-13.617409,7.62532,5.695489,-16.93675,3.254584
3.8,-13.959983,7.31814,4.724797,-16.602163,3.37057
3.85,-14.136272,7.041102,3.830322,-16.291538,3.426121
3.9,-14.175632,6.816183,3.086375,-16.030326,3.432583
3.95,-14.077919,6.673079,2.580063,-15.852604,3.391748
4.0,-13.804452,6.646739,2.402683,-15.791568,3.290407
4.05,-13.398819,6.757019,2.6318,-15.874683,3.14509
4.1,-12.887665,6.999053,3.271804,-16.102967,2.965341
4.15,-12.299747,7.356964,4.306202,-16.468257,2.761151
4.2,-11.685916,7.804214,5.700894,-16.949244,2.550866
4.25,-11.08666,8.296428,7.364284,-17.518107,2.348847
4.3,-10.514237,8.797286,9.220152,-18.14653,2.158615
4.35,-9.964142,9.276595,11.204181,-18.810433,1.977591
4.4,-9.391213,9.71186,13.26481,-19.490175,1.788488
4.45,-8.738586,10.083574,15.351562,-20.166574,1.569782
4.5,-7.944168,10.373328,17.394841,-20.814602,1.297861
4.55,-6.95073,10.567388,19.301551,-21.402879,0.950712
4.6,-5.732051,10.661765,20.962469,-21.897423,0.517553
4.65,-4.295691,10.666036,22.276372,-22.269987,0.000209
4.7,-2.684912,10.599518,23.183819,-22.507625,-0.58587
4.75,-0.970396,10.498463,23.402088,-22.53728,-1.215311
4.8,0.76304,10.351632,23.473994,-22.516,-1.855012
4.85,2.431872,10.166825,23.444672,-22.459247,-2.473984
4.9,3.968083,9.957524,23.361822,-22.383891,-3.046523
4.95,5.330674,9.766125,22.820697,-22.183117,-3.557253
5.0,6.504431,9.582916,22.096319,-21.934002,-3.999556
5.05,7.505344,9.403788,21.348052,-21.680911,-4.378689
5.1,8.359572,9.230414,20.497469,-21.401424,-4.704403
5.15,9.100866,9.055753,19.568009,-21.100486,-4.989294
5.2,9.754036,8.875085,18.600463,-20.788584,-5.242526
5.25,10.332743,8.686495,17.604102,-20.467813,-5.469177
