timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.00273,-0.170396,-0.568592,-0.00273,-0.00273
0.05,-1.590527,-0.441178,-1.655031,-0.37279,0.387907
0.1,-2.389546,-0.781471,-2.857747,-0.536561,0.579232
0.15,-3.269466,-1.218707,-4.040245,-0.694174,0.785966
0.2,-4.188724,-1.894179,-5.150038,-0.828989,0.996524
0.25,-5.133111,-2.521439,-6.166757,-0.933651,1.206435
0.3,-6.102908,-2.994545,-7.083755,-1.007109,1.415209
0.35,-7.101071,-3.424458,-7.900631,-1.051523,1.6234
0.4,-8.128306,-3.830517,-8.32185,-1.070705,1.831356
0.45,-9.184572,-4.220546,-8.218988,-1.070089,2.039562
0.5,-10.266472,-4.598631,-7.766439,-1.055561,2.247946
0.55,-11.368101,-4.967213,-7.075724,-1.033245,2.456052
0.6,-12.480478,-5.327877,-6.223187,-1.008996,2.662872
0.65,-13.591251,-5.681708,-5.263808,-0.988023,2.866748
0.7,-14.684744,-6.029479,-4.238758,-0.974608,3.065363
0.75,-15.742394,-6.371752,-3.179871,-0.971873,3.255814
0.8,-16.743671,-6.708941,-2.112416,-0.981569,3.434791
0.85,-17.667476,-7.041344,-1.056914,-1.00391,3.598843
0.9,-18.493777,-7.369182,-0.030347,-1.037469,3.744693
0.95,-19.205249,-7.692599,0.952968,-1.079212,3.869547
1.0,-19.788581,-8.011682,1.880781,-1.124702,3.971333
1.05,-20.235197,-8.326468,2.742464,-1.168492,4.048832
1.1,-20.541359,-8.636941,3.52866,-1.204663,4.101678
1.15,-20.708567,-8.943039,4.231049,-1.227662,4.130405
1.2,-20.742219,-9.244651,4.842135,-1.232724,4.136191
1.25,-20.652096,-9.541609,5.355104,-1.216722,4.120918
1.3,-20.44982,-9.83369,5.763686,-1.178016,4.086721
1.35,-20.141454,-10.120595,6.062076,-1.11501,4.034733
1.4,-19.716348,-10.401937,6.244839,-1.024122,3.963178
1.45,-19.70807,-10.677225,6.306855,-1.042091,3.961303
1.5,-18.864431,-10.945819,6.278226,-0.822729,3.820906
1.55,-17.851369,-11.206889,6.18558,-0.580738,3.651048
1.6,-16.631601,-11.459332,6.017288,-0.331509,3.444215
1.65,-15.160942,-11.701641,5.759633,-0.092001,3.191537
1.7,-13.403576,-11.931687,5.396953,0.119808,2.885559
1.75,-11.35128,-12.146316,4.912438,0.286218,2.523831
1.8,-9.039878,-12.340466,4.290073,0.392268,2.112139
1.85,-6.554422,-12.505124,3.518157,0.404981,1.665064
1.9,-4.015209,-12.62084,2.594183,0.39305,1.20674
1.95,-1.555655,-12.623308,1.5293,0.291064,0.760277
2.0,0.712894,-12.480161,0.349292,0.133748,0.347433
2.05,2.723575,-12.303527,-0.909872,-0.065195,-0.018953
2.1,4.463708,-12.098961,-2.210088,-0.293154,-0.336185
2.15,5.965941,-11.872012,-3.518342,-0.540917,-0.610034
2.2,7.286963,-11.628231,-4.810242,-0.802641,-0.850749
2.25,8.472054,-11.373172,-6.070044,-1.073478,-1.066552
2.3,9.553205,-11.112383,-7.288906,-1.348808,-1.263263
2.35,10.52701,-10.851416,-8.462779,-1.623118,-1.440331
2.4,11.378381,-10.595824,-9.590681,-1.892498,-1.595129
2.45,12.077633,-10.351157,-10.673438,-2.15319,-1.722421
2.5,12.605701,-10.122965,-11.360905,-2.403208,-1.818899
2.55,12.955807,-9.916802,-11.813684,-2.639942,-1.88343
2.6,12.953085,-9.738216,-12.186666,-2.849979,-1.884832
2.65,12.921889,-9.592762,-12.515,-3.042273,-1.881115
2.7,12.833736,-9.485989,-12.813671,-3.205595,-1.867087
2.75,12.659984,-9.423449,-13.090721,-3.328282,-1.837512
2.8,12.371656,-9.410693,-13.35106,-3.401038,-1.787131
2.85,11.938923,-9.453273,-13.597944,-3.378807,-1.710097
2.9,11.332093,-9.55674,-13.833665,-3.335901,-1.601962
2.95,10.519547,-9.726647,-14.059903,-3.258288,-1.456939
3.0,9.41156,-9.968546,-14.277943,-3.130182,-1.258859
3.05,8.092459,-10.190868,-14.488797,-2.933506,-1.022241
3.1,6.588172,-10.360625,-14.693287,-2.686962,-0.751677
3.15,4.921583,-10.507181,-14.892148,-2.431485,-0.451629
3.2,3.104884,-10.639638,-15.086115,-2.182006,-0.124372
3.25,1.145646,-10.762257,-15.27629,-1.956725,0.22845
3.3,-0.924465,-10.877433,-15.466856,-1.773227,0.600731
3.35,-3.0571,-10.986671,-15.499137,-1.637385,0.983467
3.4,-5.167164,-11.090988,-15.230758,-1.553867,1.361041
3.45,-7.16105,-11.191093,-14.707977,-1.547655,1.715642
3.5,-8.955543,-11.287519,-13.977046,-1.556963,2.03408
3.55,-10.496719,-11.380659,-13.084221,-1.585569,2.306644
3.6,-11.764097,-11.470819,-12.075758,-1.666717,2.528527
3.65,-12.76317,-11.558229,-10.997913,-1.768603,2.70183
3.7,-13.517974,-11.643074,-9.896938,-1.882124,2.831232
3.75,-14.067991,-11.725492,-8.819092,-1.999397,2.924108
3.8,-14.430016,-11.805585,-7.81063,-2.112499,2.983801
3.85,-14.613395,-11.883435,-6.917804,-2.214894,3.012281
3.9,-14.650419,-11.959083,-6.186873,-2.298613,3.015607
3.95,-14.542062,-12.032559,-5.664093,-2.354008,2.994346
4.0,-14.247507,-12.103864,-5.395715,-2.370772,2.941697
4.05,-13.813831,-12.172971,-5.427994,-2.341044,2.866242
4.1,-13.269195,-12.239834,-5.780351,-2.264711,2.772904
4.15,-12.643731,-12.304375,-6.403108,-2.143778,2.666847
4.2,-11.991302,-12.366479,-7.238886,-1.982269,2.557351
4.25,-11.354856,-12.425998,-8.230305,-1.789993,2.451576
4.3,-10.746977,-12.482717,-9.319979,-1.575105,2.351411
4.35,-10.162375,-12.536363,-10.450534,-1.344492,2.255629
4.4,-9.551946,-12.58656,-11.564585,-1.103726,2.155264
4.45,-8.853827,-12.632787,-12.604754,-0.858591,2.039016
4.5,-8.000271,-12.674306,-13.513659,-0.617631,1.894367
4.55,-6.928717,-12.710012,-14.233918,-0.392979,1.709544
4.6,-5.610347,-12.73814,-14.708153,-0.199548,1.478729
4.65,-4.053509,-12.755549,-14.878983,-0.051925,1.202885
4.7,-2.305942,-12.755527,-14.83059,0.040402,0.890427
4.75,-0.446162,-12.716428,-14.687429,0.041841,0.555096
4.8,1.433274,-12.623195,-14.453182,0.018443,0.215389
4.85,3.241268,-12.508419,-14.13246,-0.02253,-0.111931
4.9,4.903968,-12.374802,-13.73081,-0.072742,-0.413247
4.95,6.375338,-12.225046,-13.254768,-0.178126,-0.680489
5.0,7.640098,-12.061853,-12.711828,-0.303051,-0.910309
5.05,8.716659,-11.88792,-12.110427,-0.427347,-1.105869
5.1,9.63337,-11.705955,-11.459857,-0.560056,-1.272373
5.15,10.427078,-11.518656,-10.77018,-0.698723,-1.416496
5.2,11.124981,-11.328724,-10.052088,-0.838915,-1.543169
5.25,11.742017,-11.138862,-9.316755,-0.979692,-1.655123
5.3,12.28465,-10.95177,-8.575641,-1.117681,-1.753545
5.35,12.757866,-10.770151,-7.840306,-1.249751,-1.839355
5.4,13.171873,-10.596706,-7.122216,-1.374543,-1.914412
5.45,13.538851,-10.434135,-6.432538,-1.49416,-1.980944
5.5,13.873819,-10.285141,-5.78197,-1.611817,-2.041673
5.55,14.185655,-10.152426,-5.180565,-1.730771,-2.098225
5.6,14.456524,-10.038689,-4.637628,-1.851949,-2.147399
5.65,14.68337,-9.946635,-4.161587,-1.97287,-2.188652
5.7,14.842553,-9.878963,-3.759937,-2.086583,-2.21772
5.75,14.838815,-9.838374,-3.439214,-2.180041,-2.217452
5.8,14.80541,-9.827572,-3.204969,-2.249441,-2.21178
5.85,14.712875,-9.849257,-3.06181,-2.292178,-2.19539
5.9,14.531593,-9.906128,-3.013414,-2.308907,-2.162964
5.95,14.231507,-10.000894,-3.315747,-2.300518,-2.109117
6.0,13.743054,-10.136248,-4.046735,-2.251141,-2.021283
6.05,13.120209,-10.314895,-5.047817,-2.154231,-1.909063
6.1,12.389211,-10.51172,-6.230111,-2.017654,-1.777155
6.15,11.586573,-10.699877,-7.536456,-1.8498,-1.632087
6.2,10.743434,-10.879476,-8.9261,-1.656868,-1.479416
6.25,9.870732,-11.050627,-10.367314,-1.438655,-1.321037
6.3,8.953091,-11.213436,-11.833234,-1.197464,-1.154138
6.35,7.949859,-11.368016,-13.299155,-0.937584,-0.971363
6.4,6.814601,-11.514474,-14.740373,-0.664721,-0.764291
6.45,5.505011,-11.652921,-16.130016,-0.389305,-0.525236
6.5,3.999694,-11.783465,-17.43636,-0.124428,-0.250312
6.55,2.306097,-11.906216,-18.618655,0.115815,0.059071
6.6,0.463636,-12.021282,-19.619735,0.318587,0.39556
6.65,-1.459491,-12.128775,-20.350725,0.474016,0.746415
6.7,-3.377258,-12.228804,-20.653058,0.579951,1.095634
6.75,-5.203382,-12.321475,-20.523274,0.624561,1.426892
6.8,-6.868716,-12.4069,-20.125019,0.617602,1.727491
6.85,-8.332005,-12.48519,-19.449414,0.57255,1.99011
6.9,-9.579991,-12.556451,-18.496777,0.485524,2.212165
6.95,-10.618572,-12.620793,-17.281482,0.368673,2.395084
7.0,-11.461529,-12.678326,-15.836972,0.230976,2.541723
7.05,-12.121755,-12.72916,-14.219131,0.081731,2.654826
7.1,-12.609334,-12.773402,-12.505607,-0.070141,2.736656
7.15,-12.936958,-12.811165,-10.789247,-0.217192,2.789876
7.2,-12.939377,-12.842554,-9.166305,-0.351715,2.785398
7.25,-12.934548,-12.867684,-7.72316,-0.477096,2.779946
7.3,-12.915486,-12.886657,-6.526271,-0.594348,2.772244
7.35,-12.875218,-12.899589,-5.618193,-0.70572,2.760978
7.4,-12.806709,-12.906585,-5.019166,-0.811191,2.744902
7.45,-12.702774,-12.907756,-4.731911,-0.90712,2.722882
7.5,-12.556064,-12.903213,-4.747162,-0.983707,2.693976
7.55,-12.098364,-12.893063,-5.048531,-1.024,2.611109
7.6,-11.459594,-12.877414,-5.760101,-1.01716,2.497728
7.65,-10.723482,-12.856378,-6.801632,-0.964023,2.368588
7.7,-9.854738,-12.830065,-7.998315,-0.844662,2.217922
7.75,-8.913957,-12.79858,-9.256211,-0.692672,2.055148
7.8,-7.927054,-12.762037,-10.507501,-0.519955,1.884331
7.85,-6.873265,-12.720543,-11.688548,-0.344308,1.701053
7.9,-5.723329,-12.674209,-12.722935,-0.187826,1.499329
7.95,-4.447108,-12.623142,-13.494539,-0.065093,1.273334
8.0,-3.020417,-12.567452,-13.773731,0.014681,1.018556
8.05,-1.458554,-12.507251,-13.600142,0.011882,0.737085
8.1,0.188496,-12.442644,-13.303631,-0.006343,0.439685
8.15,1.846306,-12.373743,-12.881265,-0.037501,0.13991
8.2,3.436163,-12.300657,-12.334178,-0.077767,-0.14788
8.25,4.893583,-12.223495,-11.669164,-0.122428,-0.41189
8.3,6.180877,-12.142365,-10.900095,-0.218952,-0.645655
8.35,7.29113,-12.05738,-10.048511,-0.330723,-0.847372
8.4,7.701055,-11.968645,-9.142863,-0.487963,-0.922027
8.45,8.470265,-11.876273,-8.216137,-0.614841,-1.061807
8.5,9.146771,-11.78037,-7.302281,-0.744163,-1.184792
8.55,9.741961,-11.681049,-6.432458,-0.872156,-1.293039
8.6,10.2535,-11.578416,-5.6322,-0.996084,-1.386126
8.65,10.674711,-11.472583,-4.92003,-1.113321,-1.462843
8.7,11.000867,-11.363654,-4.307536,-1.220978,-1.522335
8.75,11.231012,-11.16208,-3.800373,-1.315946,-1.564425
8.8,11.36682,-10.887835,-3.399644,-1.395245,-1.58941
8.85,11.412774,-10.583987,-3.185352,-1.456291,-1.598098
8.9,11.374842,-10.262177,-3.238377,-1.497235,-1.591567
