timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.0,0.0,0.0,0.0
0.05,1.614817,2.83685,-0.657835,2.815035,-0.206057
0.1,2.240448,3.939064,-0.766906,4.039279,-0.289333
0.15,2.682595,4.703759,-0.649169,4.990542,-0.355071
0.2,3.204183,5.575409,-0.232675,6.031042,-0.439827
0.25,3.498609,6.003341,0.555903,6.446704,-0.507284
0.3,3.700812,6.228808,1.698609,6.279245,-0.57485
0.35,3.845936,6.333861,3.126558,5.409552,-0.644777
0.4,3.962916,6.399859,4.721878,3.764811,-0.716587
0.45,4.075328,6.501547,6.335002,1.346795,-0.788294
0.5,4.19483,6.693501,7.801964,-1.709402,-0.856969
0.55,4.329201,7.024746,8.966652,-5.193333,-0.919627
0.6,4.477595,7.534085,9.688056,-8.763886,-0.973339
0.65,4.634253,8.254229,9.859165,-12.039302,-1.015294
0.7,4.789919,9.206106,9.420428,-14.666054,-1.043116
0.75,4.934065,10.389044,8.370282,-16.387757,-1.055376
0.8,5.056883,11.77217,6.769175,-16.673556,-1.050693
0.85,5.150972,13.264151,4.75784,-16.714385,-1.034725
0.9,5.210962,14.745137,2.528824,-15.383814,-1.006371
0.95,5.233907,16.036193,0.347933,-13.24584,-0.970872
1.0,5.218499,16.944181,-1.490406,-10.546038,-0.932435
1.05,5.164767,17.296517,-2.700231,-7.597902,-0.895323
1.1,5.073026,16.965071,-2.6602,-4.760526,-0.863698
1.15,4.953128,16.002356,-2.379977,-2.377267,-0.842619
1.2,4.807514,14.424402,-0.63388,-0.776118,-0.835907
1.25,4.651223,12.43037,2.100193,-0.193787,-0.846405
1.3,4.504745,10.272434,5.552248,-0.784533,-0.873781
1.35,4.177068,6.505977,10.957344,0.383342,-0.91603
1.4,4.178444,5.334916,14.034983,-2.373821,-0.952736
1.45,4.188074,4.901526,16.484732,-8.457706,-1.002559
1.5,4.337313,3.525465,20.57365,-14.76397,-1.079252
1.55,4.568654,2.812176,23.10485,-19.509278,-1.143875
1.6,4.835957,3.434681,23.301646,-22.282577,-1.200741
1.65,5.10031,5.653264,20.789675,-22.412321,-1.258812
1.7,5.233782,7.130392,18.739058,-22.087858,-1.282557
1.75,5.353389,9.356614,15.380007,-19.816619,-1.285949
1.8,5.567125,13.833766,7.87716,-14.963594,-1.259996
1.85,5.704807,17.951428,-0.186455,-10.130766,-1.177976
1.9,5.726379,20.242157,-6.541149,-0.825638,-1.0786
1.95,5.625117,19.969007,-9.508521,8.773525,-1.04041
2.0,5.571225,19.373992,-9.411868,13.672471,-1.010806
2.05,5.529521,18.286435,-8.735289,14.784149,-0.99432
2.1,5.40232,16.531576,-4.441867,14.754416,-1.050574
2.15,5.289534,14.42734,2.619265,9.643707,-1.174645
2.2,5.251352,12.091521,10.058277,-0.675167,-1.322293
2.25,5.290062,9.314498,16.743343,-11.277172,-1.460258
2.3,5.335152,6.380568,22.860652,-17.647221,-1.596504
2.35,5.358193,5.116315,25.508554,-20.02341,-1.660542
2.4,5.405422,4.935708,25.886827,-20.987635,-1.671015
2.45,5.505257,5.690628,24.679102,-22.038109,-1.663563
2.5,5.589594,7.776329,21.019233,-20.180291,-1.627957
2.55,5.673112,11.372076,14.402854,-14.902867,-1.543221
2.6,5.752004,15.217127,6.697472,-6.247892,-1.439787
2.65,5.788923,17.057356,2.852535,-1.008273,-1.388657
2.7,5.815694,17.863429,-0.277564,5.300491,-1.345191
2.75,5.854539,18.613218,-5.663674,16.717185,-1.273289
2.8,5.860441,18.233303,-7.902252,23.024993,-1.25618
2.85,5.819503,17.846427,-7.273537,23.32283,-1.253574
2.9,5.767592,17.608882,-4.014945,17.87759,-1.282419
2.95,5.776054,17.810951,-2.338869,12.104752,-1.297254
3.0,5.814182,18.013022,-0.598925,4.763267,-1.328617
3.05,5.904367,16.923061,3.802534,-7.023213,-1.425949
3.1,6.054678,15.019492,8.693566,-15.517399,-1.565552
3.15,6.21587,13.188871,13.074367,-19.93047,-1.730434
3.2,6.426143,12.522082,15.119573,-22.472601,-1.871599
3.25,6.525751,12.601243,15.09083,-22.299864,-1.941645
3.3,6.600899,13.155378,14.889625,-21.090697,-2.007117
3.35,6.746696,15.230813,11.988799,-16.781172,-2.12149
3.4,6.827061,18.051751,7.455132,-8.245495,-2.200431
3.45,6.891602,20.738889,2.057139,3.619739,-2.234159
3.5,7.024012,22.856823,-4.010204,15.156682,-2.234452
3.55,7.077693,23.217497,-6.566722,22.254157,-2.252789
3.6,7.118246,23.578165,-9.292734,25.741052,-2.270686
3.65,7.192544,25.020093,-13.991306,27.090496,-2.198104
3.7,7.16514,25.496534,-14.431385,24.975224,-2.15307
3.75,7.128483,27.335351,-14.703171,15.07838,-2.094786
3.8,7.054574,27.502003,-11.723118,1.648365,-2.117233
3.85,7.057972,25.187315,-6.392198,-10.173129,-2.059524
3.9,7.060314,23.254272,-3.060267,-14.855807,-1.981399
3.95,7.064856,21.377824,0.611647,-17.117508,-1.946285
4.0,7.078489,18.16074,6.642923,-21.821695,-2.033081
4.05,7.094215,16.092614,10.404455,-24.454352,-2.088615
4.1,7.094573,15.574991,11.359335,-24.686266,-2.104895
4.15,7.039772,16.570404,9.674642,-21.693909,-2.102139
4.2,7.012297,17.517304,8.11884,-19.258084,-2.103827
4.25,7.008372,18.983242,5.619475,-14.896538,-2.11564
4.3,7.042454,21.873483,0.426189,-4.901272,-2.155925
4.35,7.090283,24.568862,-5.575784,6.156052,-2.241993
4.4,7.229824,25.756158,-10.074372,17.673077,-2.362752
4.45,7.393929,23.571864,-9.057754,30.648343,-2.60237
