timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,8.948342,-11.037149,0.0,0.526262
0.05,0.134837,9.863207,-12.49585,-2.662221,0.515926
0.1,0.827593,10.613607,-14.207002,-5.304605,0.41129
0.15,2.101449,11.492539,-17.518341,-6.866621,0.073146
0.2,3.956439,12.165668,-22.320262,-8.217637,-0.767623
0.25,6.268339,11.817758,-24.92592,-9.300318,-1.943505
0.3,8.865845,11.265948,-24.550391,-9.754088,-2.871713
0.35,11.569239,9.477046,-21.102593,-10.542132,-5.491097
0.4,14.17341,7.231815,-14.779539,-11.437948,-8.110016
0.45,16.453765,4.983527,-6.160513,-12.577333,-9.059168
0.5,18.240121,3.395127,-0.395796,-14.666631,-8.765801
0.55,18.954364,2.702589,2.071508,-17.500142,-7.390009
0.6,19.667796,2.770629,1.59159,-21.238147,-3.441701
0.65,20.448019,2.534364,2.054008,-25.476245,-1.811119
0.7,20.003194,2.09823,3.442284,-28.503518,-0.891235
0.75,18.637918,2.251096,4.039601,-29.993584,-0.252036
0.8,17.50068,2.558196,3.683087,-29.888098,-0.123373
0.85,15.867492,3.212104,2.682006,-28.192058,-0.23459
0.9,13.307651,4.372568,0.805185,-24.913334,-0.522859
0.95,10.835009,5.657861,-1.89892,-20.171712,-1.559738
1.0,8.035861,7.096942,-6.027446,-14.358053,-2.986757
1.05,4.919799,7.997889,-10.275736,-8.17272,-4.28767
1.1,1.400459,9.028186,-19.143029,-2.508307,-3.914609
1.15,-2.125161,8.214991,-22.901573,1.777443,-3.107754
1.2,-5.323478,7.859599,-24.278556,4.057247,-2.685269
1.25,-8.263807,7.610175,-24.844466,4.023678,-1.818572
1.3,-10.855776,7.38354,-24.503406,1.718388,-0.676151
1.35,-12.979884,8.694871,-22.920324,-2.437235,0.811441
1.4,-14.632453,8.872375,-14.865179,-7.693224,2.125893
1.45,-15.748632,8.793511,-12.236779,-13.183491,2.883165
1.5,-16.45753,8.656441,-10.666331,-18.204493,3.417644
1.55,-16.838619,7.693889,-7.172039,-22.359087,3.715984
1.6,-16.960813,7.168998,-5.617709,-25.501305,4.061548
1.65,-16.878328,6.310785,-3.210531,-27.595701,4.161966
1.7,-16.633729,5.554383,-1.207737,-28.612952,4.242677
1.75,-16.229414,4.744294,1.252013,-28.499179,4.08527
1.8,-15.782363,4.294512,2.730343,-27.178137,3.827177
1.85,-15.304074,4.141017,3.396429,-24.590677,3.488263
1.9,-14.720533,4.071819,3.81165,-20.782937,3.000793
1.95,-13.919067,4.003996,4.07407,-16.002513,2.259022
2.0,-12.722177,5.448614,-0.239433,-10.755543,1.299063
2.05,-11.006391,6.157069,-3.835937,-5.769303,0.513324
2.1,-8.663839,6.619205,-7.452912,-1.873198,-0.330458
2.15,-5.452439,7.743763,-21.598561,0.192949,-2.85726
2.2,-2.092148,7.847446,-25.011832,0.008898,-3.666073
2.25,1.396675,8.951936,-27.234232,-2.356417,-3.434028
2.3,4.94168,9.784901,-27.429584,-6.379721,-3.47109
2.35,8.217077,9.935646,-22.85349,-11.325336,-3.601677
2.4,10.828643,8.415565,-13.185834,-16.509346,-3.176184
2.45,12.703831,7.588135,-9.495117,-21.434095,-2.118841
2.5,13.920417,7.155581,-7.818729,-25.777549,-0.905179
2.55,14.558395,6.206837,-5.144211,-29.328713,0.32064
2.6,14.707199,5.506128,-3.326659,-31.945765,1.062373
2.65,14.440575,4.892151,-1.757282,-33.52514,1.542596
2.7,13.776551,4.374759,-0.118701,-33.961562,1.782516
2.75,12.775359,4.017492,1.250786,-33.111357,1.821409
2.8,11.50884,4.366347,0.868328,-30.802818,1.479668
2.85,9.981498,5.324626,-0.967146,-26.927828,0.751533
2.9,8.20934,7.029973,-4.867547,-21.600439,-0.414693
2.95,6.284689,8.652987,-9.876457,-15.309174,-1.991029
3.0,4.143398,9.537504,-14.915173,-8.928903,-3.389961
3.05,1.897884,9.259757,-18.605688,-3.555607,-4.161058
3.1,-0.321,8.652309,-19.855428,-0.192076,-4.285026
3.15,-2.404849,8.566806,-19.622553,0.568363,-3.814046
3.2,-4.354271,8.70543,-16.379565,-1.277203,-2.476688
3.25,-5.911216,8.38968,-9.395834,-5.172689,-0.881532
3.3,-6.981383,7.410836,-4.6119,-10.240198,0.05743
3.35,-7.664862,6.596084,-1.592832,-15.602447,0.939236
3.4,-8.039537,5.310085,1.887547,-20.604411,1.776903
3.45,-8.122353,4.625538,3.433829,-24.853499,2.424707
3.5,-8.009913,4.440768,3.571949,-28.134154,2.978724
3.55,-7.691826,4.533018,3.048841,-30.297087,3.345649
3.6,-7.12164,4.924505,1.768976,-31.170958,3.58038
3.65,-6.279131,5.830075,-0.880306,-30.55424,3.697244
3.7,-5.054235,8.020415,-6.729917,-28.293546,3.38665
3.75,-3.483366,10.21045,-13.150667,-24.442232,2.64325
3.8,-1.498438,12.194302,-21.815435,-19.392956,1.114194
3.85,0.67969,11.759834,-23.714439,-13.895189,-1.049333
3.9,2.801667,10.552798,-21.534507,-8.936219,-3.238022
3.95,4.875801,8.716342,-14.757787,-5.528865,-5.871473
4.0,6.621161,6.826114,-7.691988,-4.440208,-7.298812
4.05,7.987235,5.650948,-2.787256,-5.932338,-7.337669
4.1,9.05566,5.051278,0.28115,-9.61844,-6.181798
4.15,9.834805,4.684774,1.780708,-14.553386,-3.909593
4.2,10.308723,4.495128,2.111106,-19.567582,-2.064213
4.25,10.482162,4.343006,2.24646,-23.66659,-0.548882
4.3,10.394817,4.370774,2.014932,-26.262012,0.096505
4.35,10.026966,4.619621,1.349298,-27.150958,0.282033
4.4,9.353943,5.144865,0.004829,-26.358446,0.291883
4.45,8.357001,7.040463,-4.998188,-24.017414,-0.01791
4.5,7.024327,9.023086,-11.289872,-20.350371,-0.611584
4.55,5.250401,10.471363,-17.62711,-15.742029,-1.543264
4.6,3.389509,11.064995,-23.702095,-10.840476,-2.002596
4.65,0.320091,9.951226,-27.312062,-6.580342,-2.417193
4.7,-2.346162,8.335134,-25.311988,-4.062363,-3.085757
4.75,-5.25881,8.656853,-18.732195,-4.189331,-2.120124
4.8,-7.3902,7.77585,-9.538832,-7.203576,-1.079406
4.85,-8.366121,6.92167,-4.232351,-12.428384,0.027666
4.9,-8.691226,6.748206,-3.057653,-18.48094,2.392945
4.95,-8.736609,5.624374,0.067225,-23.895004,3.044371
5.0,-8.307982,5.334997,0.985524,-27.732182,3.291761
5.05,-7.613751,5.169028,1.462984,-29.725011,3.365042
5.1,-6.439317,5.286379,1.22532,-29.98185,3.225133
5.15,-5.067377,6.108819,-0.851284,-28.648115,2.920509
5.2,-3.716043,7.617328,-4.851654,-25.798864,2.461309
5.25,-2.429395,9.271005,-9.594422,-21.557733,1.39025
5.3,-0.984481,11.035608,-16.367956,-16.3045,0.333872
5.35,0.417439,11.197999,-20.480799,-10.765117,-1.502686
5.4,1.95735,10.079168,-22.178475,-5.964657,-3.593891
5.45,3.66417,9.007562,-21.088474,-2.978979,-5.189363
5.5,5.796363,8.556825,-19.553556,-2.578695,-6.108562
5.55,8.039648,8.078862,-15.774581,-4.916559,-6.753593
5.6,10.135307,7.928381,-11.105447,-9.417934,-5.573878
5.65,11.494483,7.08166,-6.574852,-14.966495,-3.234713
5.7,12.339191,6.02803,-3.272856,-20.347398,-1.517504
5.75,12.770978,5.09069,-0.608853,-24.670404,-0.725624
5.8,12.924018,4.343585,1.262994,-27.517753,-0.006363
5.85,12.803108,4.268028,1.442674,-28.780675,0.36481
5.9,12.371876,4.358153,1.333571,-28.41852,0.380016
5.95,11.57539,4.66479,0.782257,-26.346575,0.181235
6.0,10.319203,5.478244,-0.935269,-22.534969,-0.292085
6.05,8.880696,6.828888,-4.172675,-17.223049,-1.942736
6.1,7.16842,7.898421,-7.803431,-11.079172,-3.582125
6.15,5.178609,8.389901,-11.951255,-5.142718,-5.105271
6.2,3.094398,8.30802,-16.124676,-0.564405,-5.763307
6.25,0.661602,8.371946,-18.431672,1.710195,-5.262869
6.3,-2.451611,8.598132,-19.165384,1.175468,-3.803577
6.35,-4.773226,9.167777,-18.585124,-2.10383,-2.393069
6.4,-6.187077,10.406978,-17.532191,-7.466417,-0.551823
6.45,-7.293954,10.674869,-15.288549,-13.816834,1.227249
6.5,-8.105787,10.045854,-12.330018,-19.997551,2.413166
6.55,-8.771179,8.542051,-7.731019,-25.153464,3.160918
6.6,-9.431791,6.700311,-2.845581,-28.872859,3.556671
6.65,-9.688051,4.528168,2.504817,-31.05713,3.783343
6.7,-9.781647,3.868333,4.149986,-31.698877,3.826371
6.75,-9.715811,3.540171,5.040042,-30.761622,3.724587
6.8,-9.481201,3.35153,5.640165,-28.218829,3.474683
6.85,-8.932153,3.332483,6.480624,-24.200468,2.371459
6.9,-8.12624,3.735501,6.00564,-19.122365,1.162441
6.95,-6.967767,4.945038,2.998516,-13.683252,-0.232158
7.0,-6.015705,6.049809,-1.024483,-8.730898,-1.565198
7.05,-4.825357,7.606745,-7.608871,-5.072666,-2.181949
7.1,-3.48524,8.927269,-16.012426,-3.305483,-2.479379
7.15,-1.634996,8.944194,-25.338677,-3.69076,-2.704537
7.2,1.375409,8.979146,-31.031131,-6.081895,-2.690172
7.25,4.546154,10.128292,-32.722644,-9.944778,-2.073266
7.3,8.648168,10.965318,-31.635237,-14.534882,-1.629915
7.35,12.336061,10.993502,-26.340334,-19.139812,-1.260983
7.4,15.151211,10.296271,-22.254619,-23.245724,-0.65287
7.45,17.439966,8.998359,-17.413379,-26.559433,-0.299222
7.5,18.823329,7.25791,-11.405167,-28.900477,0.036562
7.55,19.454189,5.730586,-6.550333,-30.074952,0.043189
7.6,19.673291,3.274253,0.257667,-29.814008,0.124103
7.65,19.46418,2.802807,1.701073,-27.836796,-0.214
7.7,18.784653,2.66784,2.627313,-24.037548,-1.843775
7.75,17.626927,3.201643,1.555161,-18.692529,-3.845312
7.8,15.908897,4.642534,-2.866239,-12.537459,-6.309394
7.85,13.533081,6.172013,-9.942961,-6.644354,-7.847323
7.9,10.659395,6.830864,-17.249643,-2.136328,-8.232071
7.95,7.31205,6.922344,-23.838144,0.121357,-7.285614
8.0,3.734739,7.035275,-27.592941,-0.271538,-5.840146
8.05,0.319616,8.326431,-29.939793,-3.186739,-3.6032
8.1,-2.888921,10.250414,-29.793647,-8.02705,-1.252423
8.15,-5.775205,11.780987,-24.567757,-13.888334,0.984497
8.2,-7.094,11.900375,-20.955061,-19.784922,2.319844
8.25,-8.257603,10.763669,-15.415375,-24.88755,3.396739
8.3,-8.771991,9.502012,-10.984075,-28.685872,3.858197
8.35,-8.984684,8.783671,-8.606424,-31.010565,4.013588
8.4,-8.945524,8.308721,-7.099282,-31.911945,4.021294
8.45,-8.724709,7.939354,-5.920465,-31.491448,3.887221
8.5,-8.393078,7.655192,-4.91499,-29.799603,3.578126
8.55,-8.111236,7.442828,-4.004483,-26.869344,3.050422
8.6,-7.875256,7.198991,-2.925786,-22.828965,2.210674
8.65,-7.593259,7.00643,-2.087111,-18.000241,1.069156
8.7,-7.270623,6.915603,-1.95525,-12.90518,-0.045355
8.75,-6.907016,6.867625,-2.470998,-8.197297,-1.021179
8.8,-6.405848,7.623381,-6.210181,-4.556921,-1.753206
8.85,-5.641388,8.505564,-11.402319,-2.57,-2.181337
8.9,-4.532742,9.405108,-17.572354,-2.588697,-2.159632
8.95,-2.649149,10.298966,-24.40186,-4.616745,-1.983757
9.0,-0.122339,11.010951,-29.238206,-8.287874,-1.657478
9.05,2.212927,11.917595,-31.860316,-12.979875,-0.717967
9.1,4.800985,12.538491,-32.65538,-18.010058,0.151478
9.15,8.007203,12.604712,-30.649241,-22.8081,0.733227
9.2,10.057554,12.289003,-26.836855,-26.991436,1.362952
9.25,11.474438,11.21878,-21.04189,-30.346715,2.04857
9.3,12.203981,9.92489,-15.925023,-32.769236,2.408609
9.35,12.558359,8.776112,-12.022477,-34.19818,2.621478
9.4,12.61975,8.025228,-9.615186,-34.556594,2.634026
9.45,12.853707,7.839413,-8.919442,-33.699248,2.505209
9.5,12.531198,7.913021,-8.951661,-31.419758,2.135063
9.55,10.777805,8.283001,-9.780626,-27.586154,1.433025
9.6,9.445196,8.94094,-11.415926,-22.401303,0.135289
9.65,7.829472,9.752048,-14.284278,-18.527665,-2.109382
9.7,6.129183,9.999535,-18.601716,-14.946418,-3.735398
9.75,4.555756,9.582431,-22.223504,-11.817593,-4.258769
9.8,3.234627,9.841189,-24.036954,-9.177719,-3.795128
9.85,2.171467,10.501165,-24.309644,-6.935957,-2.69174
9.9,1.331567,10.81654,-21.29778,-4.986161,-1.186575
9.95,0.705369,8.997162,-12.875202,-3.353746,0.01679
10.0,0.065154,1.981753,-3.485784,0.0,-0.149322
