timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.0,0.0,0.009151,0.016022
0.05,0.0,0.0,-0.072245,-0.973566,0.051998
0.1,0.0,0.0,-0.281664,-1.992452,0.08972
0.15,0.0,0.0,-0.617284,-2.974495,0.111005
0.2,0.0,0.0,-1.06813,-3.913359,0.09768
0.25,0.0,0.0,-1.623228,-4.805902,0.031565
0.3,0.0,0.0,-2.271605,-5.649383,-0.105528
0.35,0.0,0.0,-3.002286,-6.440853,-0.331807
0.4,0.0,0.0,-3.804298,-7.176922,-0.665502
0.45,0.0,0.230089,-4.666667,-7.853608,-1.124882
0.5,0.0,0.877549,-5.578418,-8.466199,-1.728251
0.55,0.0,1.878169,-6.528578,-9.009083,-2.49397
0.6,0.0,3.167738,-7.506173,-9.475519,-3.440448
0.65,0.0,4.682045,-8.500228,-9.857339,-4.586166
0.7,0.0,6.35688,-9.499771,-10.144541,-5.949674
0.75,0.0,8.128031,-10.493828,-10.324669,-7.514023
0.8,0.0,9.931288,-11.471422,-10.381945,-9.220069
0.85,0.0,11.702437,-12.42158,-10.144085,-11.023302
0.9,0.0,13.377273,-13.333334,-9.432394,-12.879398
0.95,0.0,14.891578,-14.195703,-8.219168,-14.744171
1.0,0.0,16.18115,-14.997716,-6.480438,-16.573527
1.05,0.0,17.181768,-15.728392,-4.201141,-18.323427
1.1,0.0,17.829229,-16.376772,-1.384392,-19.949842
1.15,0.0,18.059317,-16.931872,1.932266,-21.408693
1.2,0.0,17.897935,-17.382717,5.649061,-22.655842
1.25,0.0,17.44013,-17.718337,9.559,-23.646996
1.3,0.0,16.725434,-17.927754,13.283323,-24.337724
1.35,0.0,15.793363,-18.000001,16.202923,-24.683361
1.4,0.0,14.683442,-17.619885,17.192927,-24.638996
1.45,0.0,13.43519,-16.568973,16.324306,-24.159395
1.5,0.0,12.088133,-14.981427,14.246653,-23.198997
1.55,0.0,10.681793,-12.991409,11.369022,-21.711819
1.6,0.0,9.255692,-10.733072,7.978387,-19.651439
1.65,0.0,7.849351,-8.340575,4.294995,-17.064082
1.7,0.0,6.502294,-5.94808,0.502268,-14.080477
1.75,0.0,5.254044,-3.68974,-3.234576,-10.781449
1.8,0.0,4.144123,-1.69972,-6.754961,-7.248771
1.85,0.0,3.212052,-0.112177,-9.890835,-3.564943
1.9,0.0,2.497353,0.938731,-12.453511,0.187058
1.95,0.0,2.039553,1.31885,-14.216199,3.924008
2.0,0.0,1.878169,0.460974,-14.887277,7.5627
2.05,0.0,2.368669,-1.838132,-14.4574,11.020164
2.1,0.0,3.68321,-5.166689,-13.255708,14.213934
2.15,0.0,5.586348,-9.112917,-11.416338,17.062267
