timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,-2.223432,-6.076892,-0.492463,0.988304,-14.740453
0.05,-2.412337,-6.258296,0.026079,0.912313,-14.927715
0.1,-2.798848,-6.635339,1.13,0.756927,-15.324807
0.15,-3.170245,-7.016387,2.286237,0.60747,-15.738147
0.2,-3.542805,-7.403223,3.506747,0.458044,-16.171448
0.25,-3.989401,-7.834748,4.932214,0.279725,-16.672183
0.3,-4.560639,-8.317664,6.627598,0.047508,-17.255976
0.35,-5.243053,-8.78809,8.420658,-0.224805,-17.868495
0.4,-6.051422,-9.214437,10.231178,-0.541279,-18.481068
0.45,-6.993753,-9.570951,11.983243,-0.903752,-19.066989
0.5,-8.067495,-9.839214,13.607219,-1.310492,-19.602257
0.55,-9.257848,-10.008971,15.039663,-1.755605,-20.065844
0.6,-10.538348,-10.078826,16.224983,-2.229283,-20.440374
0.65,-11.873002,-10.056125,17.119628,-2.71857,-20.713544
0.7,-13.219368,-9.955275,17.697182,-3.208479,-20.879456
0.75,-14.532855,-9.794642,17.951779,-3.683449,-20.939217
0.8,-15.772853,-9.586081,17.807601,-4.128913,-20.872375
0.85,-16.904003,-9.361582,17.514434,-4.534081,-20.757896
0.9,-17.906558,-9.125113,17.010569,-4.89172,-20.578252
0.95,-18.76826,-8.879089,16.273059,-5.197445,-20.327087
1.0,-19.483944,-8.634662,15.416956,-5.450108,-20.040117
1.05,-20.049875,-8.400248,14.506743,-5.648707,-19.737698
1.1,-20.514769,-8.173883,13.603491,-5.811086,-19.437878
1.15,-20.722606,-8.007634,12.793772,-5.881356,-19.173389
1.2,-20.724595,-7.904627,12.143347,-5.878224,-18.964454
1.25,-20.693204,-7.840019,11.713114,-5.864307,-18.826498
1.3,-20.596575,-7.83692,11.56759,-5.828498,-18.782108
1.35,-20.402419,-7.919463,11.794013,-5.759708,-18.860753
1.4,-20.002487,-8.116382,12.446789,-5.619254,-19.082324
1.45,-19.473195,-8.393677,13.504857,-5.434771,-19.435843
1.5,-18.814096,-8.724914,14.936717,-5.205992,-19.907703
1.55,-18.018425,-9.071071,16.648682,-4.929844,-20.463525
1.6,-17.066571,-9.394953,18.522988,-4.598292,-21.061669
1.65,-15.925518,-9.669962,20.428514,-4.198267,-21.657912
1.7,-14.555772,-9.885515,22.229957,-3.714269,-22.209579
1.75,-12.92532,-10.047043,23.796814,-3.133557,-22.678759
1.8,-11.027111,-10.16963,25.014706,-2.452586,-23.035194
1.85,-8.893968,-10.267123,25.79981,-1.682502,-23.258548
1.9,-6.602989,-10.370812,25.916098,-0.850731,-23.289142
1.95,-4.263827,-10.390467,25.938063,0.002864,-23.276233
2.0,-1.996866,-10.397045,25.320944,0.834571,-23.079189
2.05,0.096494,-10.352314,24.316276,1.607102,-22.763762
2.1,1.955149,-10.249378,22.997319,2.297875,-22.350134
2.15,3.567183,-10.083553,21.434991,2.902406,-21.857725
2.2,4.96218,-9.849578,19.686104,3.431634,-21.301683
2.25,6.191998,-9.54092,17.793452,3.904878,-20.692989
2.3,7.29809,-9.154742,15.796349,4.337586,-20.042645
2.35,8.30974,-8.693765,13.733998,4.740558,-19.362746
2.4,9.223364,-8.170958,11.646554,5.112032,-18.667436
2.45,10.02444,-7.601956,9.558009,5.446055,-17.96637
2.5,10.686475,-7.00318,7.482878,5.724106,-17.279007
2.55,11.191134,-6.389275,5.429608,5.938472,-16.603234
2.6,11.52935,-5.776014,3.421263,6.094507,-15.928848
2.65,11.536722,-5.218508,1.515735,6.126206,-15.28201
2.7,11.516929,-4.67501,-0.25099,6.146976,-14.672252
2.75,11.442677,-4.191118,-1.782998,6.143928,-14.137363
2.8,11.286301,-3.81714,-2.977482,6.104146,-13.717645
2.85,11.019919,-3.596828,-3.751361,6.015213,-13.446108
2.9,10.613159,-3.688084,-3.689447,5.858511,-13.473603
2.95,10.042442,-3.853077,-3.487769,5.637115,-13.552936
3.0,9.277908,-4.136663,-3.021249,5.338082,-13.728958
3.05,8.235774,-4.587631,-2.1646,4.928509,-14.046848
3.1,6.995753,-5.246339,-0.721646,4.437354,-14.573735
3.15,5.58439,-6.031924,1.143114,3.879446,-15.247622
3.2,4.025199,-6.805872,3.069615,3.270861,-15.938856
3.25,2.330058,-7.519249,4.938033,2.619059,-16.604767
3.3,0.508548,-8.123347,6.602773,1.920978,-17.196745
3.35,-1.411259,-8.580923,7.931935,1.191621,-17.670485
3.4,-3.386942,-8.887761,8.895957,0.45122,-18.015275
3.45,-5.340928,-9.043894,9.471101,-0.272767,-18.222757
3.5,-7.188497,-9.010123,9.445116,-0.948436,-18.221971
3.55,-8.852209,-8.924404,9.34515,-1.554558,-18.190783
3.6,-10.282462,-8.789572,9.121196,-2.0733,-18.113875
3.65,-11.461636,-8.544005,8.462996,-2.495984,-17.888339
3.7,-12.393686,-8.255748,7.628848,-2.827121,-17.601893
3.75,-13.100281,-7.944207,6.685422,-3.075419,-17.277546
3.8,-13.617409,-7.62532,5.695488,-3.254584,-16.93675
3.85,-13.959983,-7.31814,4.724797,-3.37057,-16.602163
3.9,-14.136273,-7.041101,3.830322,-3.426121,-16.291538
3.95,-14.175632,-6.816183,3.086375,-3.432583,-16.030324
4.0,-14.077919,-6.673079,2.580063,-3.391748,-15.852604
4.05,-13.804452,-6.646739,2.402683,-3.290407,-15.791568
4.1,-13.398819,-6.757018,2.6318,-3.14509,-15.874683
4.15,-12.887665,-6.999053,3.271804,-2.965341,-16.102967
4.2,-12.299747,-7.356964,4.306202,-2.761151,-16.468257
4.25,-11.685915,-7.804214,5.700894,-2.550866,-16.949244
4.3,-11.086661,-8.296428,7.364284,-2.348847,-17.518107
4.35,-10.514237,-8.797286,9.220152,-2.158615,-18.14653
4.4,-9.964142,-9.276596,11.204181,-1.977591,-18.810433
4.45,-9.391213,-9.71186,13.26481,-1.788488,-19.490175
4.5,-8.738586,-10.083574,15.351562,-1.569782,-20.166574
4.55,-7.944168,-10.373328,17.394841,-1.297861,-20.814602
4.6,-6.95073,-10.567389,19.301551,-0.950712,-21.402879
4.65,-5.732051,-10.661765,20.962469,-0.517553,-21.897423
4.7,-4.295691,-10.666037,22.276372,-0.000209,-22.269987
4.75,-2.684912,-10.599518,23.183819,0.58587,-22.507625
4.8,-0.970396,-10.498463,23.402088,1.215311,-22.53728
4.85,0.76304,-10.351632,23.473994,1.855012,-22.516
4.9,2.431872,-10.166825,23.444672,2.473984,-22.459247
