timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.0,0.115039,-0.504652,0.120639
0.05,6.430717,2.213043,0.768183,-1.927215,0.465486
0.1,9.564908,2.924328,1.271948,-4.123309,1.008754
0.15,12.91226,3.587084,1.52433,-6.940346,1.724438
0.2,16.257317,4.174093,1.485572,-10.219655,2.586341
0.25,19.496271,4.678323,1.159807,-13.798844,3.568101
0.3,22.586158,5.101022,0.574507,-17.514248,4.643224
0.35,25.498529,5.446353,-0.231383,-21.203426,5.785112
0.4,28.201878,5.722365,-1.209575,-24.707595,6.967085
0.45,30.670654,5.937669,-2.309037,-27.873789,8.162427
0.5,32.876976,6.101786,-3.476143,-30.55688,9.344401
0.55,34.796245,6.224186,-4.656052,-32.621158,10.486288
0.6,36.405998,6.313695,-5.7935,-33.941648,11.56141
0.65,37.684831,6.378177,-6.833623,-34.404988,12.543171
0.7,38.610947,6.424389,-7.723185,-34.232389,13.405073
0.75,39.160534,6.45797,-8.412413,-33.706208,14.120756
0.8,39.306239,6.483519,-8.857553,-32.817775,14.664025
0.85,39.016274,6.504725,-9.02422,-31.565651,15.008871
0.9,38.254493,6.52451,-8.89141,-29.958432,15.129511
0.95,36.981738,6.545172,-8.455785,-28.017735,14.899767
1.0,35.1586,6.56849,-7.735596,-25.780675,14.245504
1.05,32.749312,6.595821,-6.773307,-23.301182,13.218692
1.1,29.726407,6.628146,-5.63596,-20.649183,11.87092
1.15,26.078914,6.666097,-4.412467,-17.907243,10.253762
1.2,21.81113,6.709965,-3.20738,-15.164671,8.419137
1.25,16.952106,6.759682,-2.131402,-12.510273,6.419694
1.3,11.547206,6.814824,-1.289533,-10.025189,4.29641
1.35,5.641897,6.874602,-0.768505,-7.777422,2.085457
1.4,-0.717142,6.937883,-0.625461,-5.818891,-0.166971
1.45,-5.353772,7.003222,-0.879881,-4.185017,-2.41483
1.5,-15.023488,7.068925,-1.510209,-2.896229,-4.612332
1.55,-23.140438,7.133124,-2.455828,-1.960497,-6.714049
1.6,-29.306019,7.193866,-3.623956,-1.376283,-8.675026
1.65,-33.518604,7.249211,-4.90021,-1.135202,-10.450873
1.7,-36.063918,7.297331,-6.161023,-1.321573,-11.997872
1.75,-37.36746,7.336599,-7.286016,-1.979781,-13.27305
1.8,-37.878364,7.365665,-8.168766,-3.042196,-14.234296
1.85,-37.993125,7.383521,-8.72493,-4.446046,-14.840408
1.9,-37.993125,7.389544,-8.897414,-6.132452,-15.051203
1.95,-37.993132,7.383524,-8.657827,-8.045608,-14.840411
2.0,-37.878378,7.365673,-8.005763,-10.132055,-14.234299
2.05,-37.367442,7.336617,-6.965553,-12.34004,-13.273058
2.1,-36.063914,7.297366,-5.582989,-14.618917,-11.997879
2.15,-33.518631,7.249273,-3.928849,-16.918601,-10.450886
2.2,-29.306033,7.193974,-2.114449,-19.188996,-8.67504
2.25,-23.140425,7.133307,1.662697,-21.379472,-6.714067
2.3,-15.023488,7.069221,4.015085,-23.438303,-4.612349
2.35,-5.353772,7.003682,5.617739,-25.312029,-2.41485
2.4,5.091963,6.938568,6.195705,-26.94485,-0.166988
2.45,15.331468,6.87558,5.658231,-28.277832,2.085445
2.5,24.438714,6.816156,4.130869,-29.248099,4.296405
2.55,31.783698,6.761411,1.906835,-29.787831,6.419699
2.6,37.146035,6.712102,-0.656646,-29.82301,8.419149
2.65,40.66653,6.668621,-3.237265,-29.350207,10.253775
2.7,42.700912,6.630981,-5.596403,-28.470998,11.870932
2.75,43.677321,6.598912,-7.576803,-27.252094,13.218702
2.8,44.007664,6.571873,-9.076534,-25.748676,14.245509
2.85,44.039694,6.549229,-10.0225,-24.00776,14.899767
2.9,44.018981,6.530612,-10.351839,-22.070663,15.129511
2.95,44.039721,6.516262,-10.022486,-19.97484,14.899766
3.0,44.00765,6.481704,-9.0765,-17.75543,14.2455
3.05,43.677321,6.492807,-7.576831,-15.446637,13.218685
3.1,42.700902,6.502149,-5.596374,-13.083121,11.87091
3.15,40.666543,6.507019,-3.237286,-10.701578,10.253751
3.2,37.146049,6.508291,-0.656646,-8.342701,8.419129
3.25,31.783681,6.513227,1.906848,-6.053988,6.419694
3.3,24.438704,6.536687,4.13086,-3.893925,4.296418
3.35,15.331452,6.597814,5.658219,-1.938975,2.085471
3.4,5.091963,6.711191,6.195705,-0.296259,-0.166955
3.45,-5.353772,6.876403,5.617739,0.870965,-2.414813
3.5,-15.023484,7.074028,4.015066,1.283461,-4.612314
3.55,-23.140415,7.272265,1.662696,0.999574,-6.714032
3.6,-29.306019,7.440558,-1.075783,0.370614,-8.675011
3.65,-33.51861,7.56093,-3.852399,-0.606096,-10.450864
3.7,-36.063914,7.631147,-6.398522,-1.928704,-11.997862
3.75,-37.36746,7.660784,-8.534172,-3.589309,-13.273047
3.8,-37.878371,7.665039,-10.145977,-5.572153,-14.234294
3.85,-37.993125,7.659495,-11.158629,-7.851569,-14.84041
3.9,-37.993125,7.656047,-11.510251,-10.389831,-15.051203
3.95,-37.993132,7.659499,-11.158641,-13.135101,-14.84041
4.0,-37.878364,7.665038,-10.145978,-16.019889,-14.234293
4.05,-37.367432,7.66078,-8.534161,-18.960492,-13.273047
4.1,-36.063921,7.631151,-6.398554,-21.857929,-11.997862
4.15,-33.518624,7.560928,-3.852391,-24.600854,-10.450862
4.2,-29.30603,7.440558,-1.075782,-27.070538,-8.675011
4.25,-23.140425,7.272269,1.662697,-29.147593,-6.714032
4.3,-15.023484,7.074024,4.015076,-30.719507,-4.612313
4.35,-5.353757,6.876404,5.617728,-31.687764,-2.414813
4.4,5.091963,6.711191,6.195705,-31.973365,-0.166955
4.45,15.331468,6.597812,5.658231,-31.458219,2.085471
4.5,24.438697,6.536682,4.130893,-30.350499,4.296421
4.55,31.783688,6.513227,1.906837,-28.884843,6.419694
4.6,37.146035,6.508291,-0.656646,-27.180842,8.419129
4.65,40.66653,6.507017,-3.237265,-25.310279,10.253752
4.7,42.700908,6.502152,-5.596381,-23.321288,11.870911
4.75,43.677321,6.492809,-7.576803,-21.248988,13.218685
4.8,44.007664,6.481704,-9.076502,-19.120995,14.245504
4.85,44.039694,6.472721,-10.0225,-16.960589,14.899767
4.9,44.018981,6.46922,-10.351839,-14.788821,15.129511
4.95,44.039721,6.47272,-10.022486,-12.6261,14.899766
5.0,44.00765,6.481704,-9.0765,-10.493684,14.2455
5.05,43.677321,6.492807,-7.576831,-8.415363,13.218685
5.1,42.700902,6.502149,-5.596374,-6.419686,11.870911
5.15,40.666543,6.507019,-3.237286,-4.543572,10.253751
5.2,37.146049,6.508291,-0.656646,-2.838589,8.41913
5.25,31.783681,6.513227,1.906848,-1.38383,6.419694
5.3,24.438704,6.536687,4.13086,-0.316521,4.296418
5.35,15.331452,6.597814,5.658219,0.074123,2.085471
5.4,5.091963,6.711191,6.195705,-0.417446,-0.166954
5.45,-5.353772,6.876403,5.617739,-1.575942,-2.414812
5.5,-15.023484,7.074028,4.015066,-3.312258,-4.612313
5.55,-23.140415,7.272265,1.662696,-5.510533,-6.714032
