timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-0.128948,-0.016011,0.0,-0.342455,0.085605
0.05,-0.186137,0.202318,5.232734,-1.006977,0.120727
0.1,-0.241925,0.055718,7.568363,-1.653519,0.151899
0.15,-0.291089,-0.207504,9.909812,-1.685765,0.17493
0.2,-0.331701,-0.582006,12.03311,-1.76441,0.188257
0.25,-0.363929,-1.049217,14.349654,-1.838059,0.192135
0.3,-0.388792,-1.593036,15.826342,-1.81923,0.187732
0.35,-0.40748,-2.206959,16.988981,-1.606656,0.176608
0.4,-0.421302,-2.88898,17.866346,-1.134831,0.160592
0.45,-0.431316,-3.66673,18.489003,-0.400003,0.141442
0.5,-0.438371,-4.449624,18.877666,0.560191,0.120783
0.55,-0.443079,-5.340471,19.048598,1.69767,0.100014
0.6,-0.445856,-6.086284,19.015204,2.928566,0.080273
0.65,-0.446982,-6.78563,18.79072,4.176552,0.062432
0.7,-0.446651,-7.405249,18.390336,5.405261,0.047131
0.75,-0.445017,-8.017449,17.831942,6.574645,0.034811
0.8,-0.442213,-8.517482,17.135457,7.641591,0.025765
0.85,-0.438356,-9.069528,16.321113,8.5608,0.020194
0.9,-0.433545,-9.905869,15.40736,9.285913,0.01825
0.95,-0.427858,-10.057664,14.409592,9.770793,0.020069
1.0,-0.42135,-10.37303,13.339509,9.97092,0.025785
1.05,-0.414063,-10.642667,12.205887,9.844755,0.035523
1.1,-0.406043,-10.677934,11.014579,9.354984,0.049364
1.15,-0.397355,-10.756394,9.764362,8.469505,0.067303
1.2,-0.388111,-10.779966,8.434529,7.162142,0.089193
1.25,-0.378481,-10.478453,7.333499,5.412992,0.114695
1.3,-0.368704,-10.104068,6.041775,3.208451,0.143253
1.35,-0.359078,-9.55335,4.275885,0.540938,0.174083
1.4,-0.349938,-8.728593,1.643836,-2.905018,0.206215
1.45,-0.34163,-7.79772,-1.261465,-7.370236,0.23856
1.5,-0.334462,-6.69694,-4.013664,-12.661893,0.270007
1.55,-0.328669,-5.414258,-6.459368,-18.466429,0.299541
1.6,-0.324384,-4.25042,-8.600351,-24.369005,0.326346
1.65,-0.321613,-3.284555,-10.562003,-29.913268,0.349886
1.7,-0.32024,-2.513505,-12.503392,-34.682379,0.369947
1.75,-0.320041,-1.980171,-14.473219,-38.587205,0.386632
1.8,-0.320713,-1.588383,-16.084383,-41.786534,0.400316
1.85,-0.321907,-1.040424,-17.415703,-44.307885,0.41157
1.9,-0.323267,-0.576126,-18.435838,-46.178315,0.421071
1.95,-0.324457,-0.15174,-19.18469,-47.424414,0.429523
2.0,-0.325186,0.284669,-19.764997,-48.072388,0.437577
2.05,-0.325218,0.699607,-20.227822,-48.148066,0.445785
2.1,-0.324381,1.086913,-20.69062,-47.676933,0.454571
2.15,-0.322569,1.434158,-20.957884,-46.684189,0.464217
2.2,-0.319737,1.728017,-20.99467,-45.194733,0.474868
2.25,-0.315899,1.96442,-20.881538,-43.233281,0.486541
2.3,-0.311121,2.153923,-20.719551,-40.82428,0.499145
2.35,-0.305517,2.318276,-20.509328,-37.99207,0.512508
2.4,-0.299237,2.4771,-20.244491,-34.760783,0.526403
2.45,-0.292451,2.63,-19.930625,-31.154474,0.540593
2.5,-0.28534,2.747953,-19.633138,-27.192255,0.554866
2.55,-0.278074,2.787691,-19.234366,-22.949767,0.569073
2.6,-0.270799,2.729848,-18.666851,-18.570699,0.583151
2.65,-0.263628,2.608528,-18.077899,-14.226332,0.597127
2.7,-0.256633,2.502781,-17.558664,-10.081711,0.611097
2.75,-0.249849,2.493345,-17.174572,-6.264907,0.625195
2.8,-0.243281,2.619536,-17.046183,-2.853419,0.639551
2.85,-0.236911,2.868391,-17.156059,0.121813,0.654257
2.9,-0.230708,3.198562,-17.233003,2.663407,0.669346
2.95,-0.224641,3.571053,-17.373498,4.871066,0.684787
3.0,-0.21868,3.966613,-17.579626,6.836338,0.700494
3.05,-0.212802,4.386707,-17.825154,8.567367,0.716343
3.1,-0.206994,4.843914,-18.059049,10.073657,0.732195
3.15,-0.201255,5.346298,-18.335897,11.366052,0.747912
3.2,-0.195585,5.884763,-18.767828,12.456678,0.763373
3.25,-0.189993,6.434596,-19.092848,13.358867,0.778479
3.3,-0.184486,6.974002,-19.387704,14.087062,0.793167
3.35,-0.179072,7.49924,-19.663404,14.656672,0.807398
3.4,-0.173756,8.026306,-19.925834,15.083933,0.821162
3.45,-0.168547,8.578979,-20.193738,15.385729,0.834463
3.5,-0.163451,9.172835,-20.486232,15.579419,0.847318
3.55,-0.158479,9.802267,-20.790785,15.682637,0.859746
3.6,-0.153642,10.439446,-21.173726,15.713115,0.871777
3.65,-0.14895,11.051409,-21.474221,15.611987,0.883452
3.7,-0.144407,11.627448,-21.770142,15.317599,0.894827
3.75,-0.140018,12.188906,-22.068041,14.843434,0.905976
3.8,-0.135789,12.77087,-22.379525,14.202979,0.916983
3.85,-0.131741,13.393042,-22.738229,13.409721,0.927917
3.9,-0.127932,14.048237,-23.123687,12.477146,0.938794
3.95,-0.124478,14.718525,-23.517279,11.418743,0.949534
4.0,-0.121583,15.39817,-23.937322,10.247999,0.959901
4.05,-0.119554,16.100241,-24.377644,8.978404,0.969455
4.1,-0.118812,16.850886,-24.826544,7.62345,0.977514
4.15,-0.119864,17.670854,-25.332115,6.196628,0.983154
4.2,-0.12326,18.549047,-25.790364,4.711437,0.985237
4.25,-0.129493,19.418976,-26.234996,3.18137,0.982485
4.3,-0.138888,20.162145,-26.43826,1.61993,0.97359
4.35,-0.151462,20.646712,-25.870202,0.723694,0.957332
4.4,-0.166794,20.770546,-24.341382,0.27183,0.93269
4.45,-0.183921,20.473758,-21.899728,-0.02424,0.89892
4.5,-0.201307,19.727137,-17.535797,-0.23202,0.855582
4.55,-0.216886,18.201088,-14.493156,-0.380433,0.802526
4.6,-0.228225,17.261558,-11.471576,-0.484983,0.739873
4.65,-0.232676,15.121564,-8.683853,-0.555076,0.667788
4.7,-0.227882,12.626652,-6.432903,-0.596915,0.586749
4.75,-0.212003,9.867098,-3.685777,-0.615059,0.49729
4.8,-0.184411,6.863024,-2.116837,-0.615797,0.400644
4.85,-0.146815,3.363384,-1.040327,-0.375015,0.30033
4.9,-0.104251,1.256124,-0.404408,-0.127536,0.203822
4.95,0.0,0.0,0.0,0.0,0.0
