timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.0,0.0,0.954262,0.117151
0.05,0.256494,1.382516,6.441623,3.053938,0.160702
0.1,0.050942,1.812346,8.683208,5.062894,0.234466
0.15,-0.234742,2.380419,8.590095,6.963056,0.340129
0.2,-0.517744,2.872875,8.361563,8.791152,0.44763
0.25,-0.717158,3.112443,7.593338,10.586392,0.525127
0.3,-0.834234,3.118403,7.393421,12.411084,0.571342
0.35,-0.87061,2.904177,7.7511,14.276308,0.58416
0.4,-0.904816,2.666666,8.118473,16.246216,0.59648
0.45,-1.013321,2.639086,7.854383,18.251828,0.645524
0.5,-1.194586,2.812531,6.949432,20.255249,0.73329
0.55,-1.447511,3.157321,5.422621,22.235753,0.860452
0.6,-1.771557,3.632431,3.300502,24.16272,1.026624
0.65,-2.166764,4.18428,0.615917,25.992939,1.230439
0.7,-2.634738,4.721846,-2.464373,27.651287,1.467946
0.75,-3.162893,5.086779,-5.15764,28.966945,1.720273
0.8,-3.638973,5.317517,-7.363495,29.90223,1.940924
0.85,-4.043089,5.470093,-9.100715,30.470058,2.126323
0.9,-4.376177,5.579944,-10.371251,30.715313,2.27461
0.95,-4.639148,5.682045,-11.18856,30.668813,2.384318
1.0,-4.832171,5.799643,-11.564452,30.358084,2.455743
1.05,-4.953118,5.947766,-11.81121,29.848586,2.492702
1.1,-4.999666,6.134718,-12.236672,29.199749,2.499086
1.15,-4.996615,6.36075,-12.841656,28.422111,2.48472
1.2,-4.968936,6.625228,-13.626619,27.519382,2.459152
1.25,-4.943104,6.926765,-14.591741,26.49302,2.431948
1.3,-4.946014,7.26318,-15.736966,25.348149,2.412043
1.35,-4.902988,7.62706,-16.921526,24.097068,2.370233
1.4,-4.73452,7.968144,-17.948834,22.846515,2.283162
1.45,-4.437986,8.277169,-18.806603,21.645722,2.154148
1.5,-4.011553,8.552651,-19.49316,20.523146,1.985538
1.55,-3.453726,8.791728,-20.006164,19.500931,1.779254
1.6,-2.763472,8.990181,-20.342615,18.596104,1.536695
1.65,-2.068065,9.144011,-20.573122,17.831696,1.30045
1.7,-1.496473,9.255648,-20.770617,17.227638,1.110867
1.75,-1.05028,9.328849,-20.935363,16.789085,0.965817
1.8,-0.730618,9.366535,-21.067674,16.51363,0.863595
1.85,-0.538205,9.370695,-21.167922,16.390682,0.803014
1.9,-0.473704,9.359938,-21.260221,16.369301,0.783286
1.95,-0.385217,9.342652,-21.359564,16.394969,0.756086
2.0,-0.120671,9.309763,-21.434694,16.447635,0.673174
2.05,0.319571,9.259382,-21.480252,16.516693,0.534377
2.1,0.934891,9.187918,-21.494566,16.596993,0.33954
2.15,1.680474,9.094639,-21.477328,16.68726,0.102465
2.2,2.292898,9.004034,-21.439959,16.79134,-0.0934
2.25,2.729101,8.925165,-21.386692,16.911243,-0.23417
2.3,2.989887,8.861695,-21.32055,17.048087,-0.319793
2.35,3.075891,8.815723,-21.243838,17.202175,-0.350094
2.4,3.093569,8.775159,-21.150931,17.371196,-0.35888
2.45,3.149017,8.72715,-21.035832,17.552357,-0.380215
2.5,3.242135,8.671633,-20.898559,17.744507,-0.414203
2.55,3.372805,8.608432,-20.739029,17.946199,-0.460958
2.6,3.540879,8.53731,-20.557165,18.155445,-0.520602
2.65,3.746185,8.457972,-20.352838,18.369526,-0.593262
2.7,3.98869,8.373624,-20.134711,18.578594,-0.678749
