timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.163277,0.851513,4.509183,-0.652535,0.169015
0.1,-0.226961,1.221566,6.201236,-0.808401,0.239149
0.15,-0.281829,1.579753,7.590998,-0.835384,0.304146
0.2,-0.32202,1.89652,8.516419,-0.700008,0.358348
0.25,-0.347449,2.165249,8.987725,-0.40846,0.401357
0.3,-0.361148,2.391641,9.107609,0.010483,0.435557
0.35,-0.366727,2.583903,8.994615,0.522546,0.463786
0.4,-0.367108,2.748397,8.744346,1.097485,0.488237
0.45,-0.364547,2.890502,8.428748,1.71063,0.510549
0.5,-0.360388,3.013543,8.089279,2.344692,0.531596
0.55,-0.355431,3.120153,7.748383,2.987624,0.551839
0.6,-0.350108,3.212577,7.415686,3.631253,0.571481
0.65,-0.34464,3.292894,7.093406,4.270011,0.590591
0.7,-0.339135,3.363097,6.780073,4.900037,0.609184
0.75,-0.333647,3.425065,6.472724,5.518595,0.62726
0.8,-0.328204,3.480507,6.168101,6.123733,0.644824
0.85,-0.322825,3.530897,5.863284,6.714066,0.661883
0.9,-0.317519,3.577441,5.556009,7.288727,0.678451
0.95,-0.312296,3.621064,5.244778,7.847265,0.694546
1.0,-0.307159,3.662456,4.928875,8.389775,0.710192
1.05,-0.30211,3.702099,4.608227,8.916811,0.725422
1.1,-0.297152,3.7403,4.283134,9.428854,0.740257
1.15,-0.292293,3.777196,3.953888,9.925424,0.754694
1.2,-0.28715,3.817033,3.631002,10.461393,0.770113
1.25,-0.282629,3.849732,3.292542,10.909663,0.783313
1.3,-0.278223,3.881627,2.950236,11.340787,0.796105
1.35,-0.273914,3.913219,2.602647,11.755908,0.808538
1.4,-0.26968,3.944912,2.248555,12.156207,0.820655
1.45,-0.265505,3.976986,1.887368,12.542655,0.832492
1.5,-0.261379,4.00965,1.518838,12.916146,0.844076
1.55,-0.257291,4.043049,1.143359,13.277319,0.855426
1.6,-0.253235,4.077334,0.761459,13.626811,0.866561
1.65,-0.2492,4.112756,0.373243,13.965372,0.877503
1.7,-0.245161,4.149922,-0.022869,14.294181,0.8883
1.75,-0.241093,4.189399,-0.428535,14.614457,0.899003
1.8,-0.236985,4.231349,-0.844021,14.926911,0.909632
1.85,-0.232824,4.275876,-1.269319,15.232143,0.920204
1.9,-0.228601,4.323065,-1.704405,15.530742,0.930733
1.95,-0.224312,4.372886,-2.148579,15.823013,0.941222
2.0,-0.219972,4.424924,-2.598522,16.108501,0.951632
2.05,-0.215598,4.478786,-3.050252,16.386471,0.961917
2.1,-0.211204,4.534429,-3.500612,16.656543,0.972047
2.15,-0.206773,4.592392,-3.949886,16.919255,0.982045
2.2,-0.202284,4.653321,-4.399207,17.175419,0.991948
2.25,-0.197715,4.717866,-4.849691,17.4258,1.00179
2.3,-0.193043,4.786575,-5.302429,17.671108,1.011603
2.35,-0.18825,4.859797,-5.758269,17.911927,1.021411
2.4,-0.183319,4.937789,-6.218057,18.148837,1.031234
2.45,-0.178231,5.020805,-6.682619,18.38237,1.041095
2.5,-0.172969,5.109059,-7.152423,18.612896,1.051004
2.55,-0.167529,5.202682,-7.516787,18.788191,1.06096
2.6,-0.161906,5.30184,-7.883112,18.96165,1.070955
2.65,-0.156093,5.406673,-8.250804,19.133277,1.080982
